	BN1_C	BN1_H	BN1_W	time_cost
0	64.0	56.0	56.0	670.0
1	256.0	56.0	56.0	2274.0
2	256.0	56.0	56.0	2337.0
3	256.0	56.0	56.0	2243.0
4	64.0	56.0	56.0	689.0
5	256.0	56.0	56.0	2309.0
6	256.0	56.0	56.0	2224.0
7	256.0	56.0	56.0	2324.0
8	64.0	56.0	56.0	696.0
9	256.0	56.0	56.0	2409.0
10	256.0	56.0	56.0	2451.0
11	256.0	56.0	56.0	2260.0
12	64.0	56.0	56.0	720.0
13	256.0	56.0	56.0	2142.0
14	256.0	56.0	56.0	2351.0
15	256.0	56.0	56.0	2222.0
16	64.0	56.0	56.0	802.0
17	256.0	56.0	56.0	2253.0
18	256.0	56.0	56.0	2297.0
19	256.0	56.0	56.0	2240.0
20	64.0	56.0	56.0	696.0
21	256.0	56.0	56.0	2182.0
22	256.0	56.0	56.0	2253.0
23	256.0	56.0	56.0	2235.0
24	64.0	56.0	56.0	669.0
25	256.0	56.0	56.0	2325.0
26	256.0	56.0	56.0	2348.0
27	256.0	56.0	56.0	2217.0
28	64.0	56.0	56.0	704.0
29	256.0	56.0	56.0	2256.0
30	256.0	56.0	56.0	2456.0
31	256.0	56.0	56.0	2195.0
32	64.0	56.0	56.0	679.0
33	256.0	56.0	56.0	2307.0
34	256.0	56.0	56.0	2385.0
35	256.0	56.0	56.0	2306.0
36	64.0	56.0	56.0	679.0
37	256.0	56.0	56.0	2213.0
38	256.0	56.0	56.0	2553.0
39	256.0	56.0	56.0	2311.0
40	64.0	56.0	56.0	650.0
41	256.0	56.0	56.0	2373.0
42	256.0	56.0	56.0	2453.0
43	256.0	56.0	56.0	2317.0
44	64.0	56.0	56.0	712.0
45	256.0	56.0	56.0	2334.0
46	256.0	56.0	56.0	2323.0
47	256.0	56.0	56.0	2191.0
48	64.0	56.0	56.0	681.0
49	256.0	56.0	56.0	2306.0
50	256.0	56.0	56.0	2503.0
51	256.0	56.0	56.0	2218.0
52	64.0	56.0	56.0	740.0
53	256.0	56.0	56.0	2231.0
54	256.0	56.0	56.0	2247.0
55	256.0	56.0	56.0	2280.0
56	64.0	56.0	56.0	738.0
57	256.0	56.0	56.0	2210.0
58	256.0	56.0	56.0	2296.0
59	256.0	56.0	56.0	2092.0
