	maxpool_N	maxpool_H	maxpool_W	maxpool_C	maxpool_ksizeH	maxpool_ksizeW	maxpool_zPadHLeft	maxpool_zPadHRight	maxpool_zPadWLeft	maxpool_zPadWRight	maxpool_strideH	maxpool_strideW	maxpool_N1	maxpool_imgH	maxpool_imgW	maxpool_C1	time_cost
0	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	190.0
1	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	100.0
2	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	191.0
3	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	50.0
4	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	186.0
5	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	48.0
6	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	182.0
7	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	54.0
8	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	192.0
9	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	47.0
10	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	158.0
11	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	54.0
12	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	161.0
13	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	59.0
14	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	164.0
15	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	42.0
16	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	196.0
17	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	44.0
18	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	138.0
19	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	47.0
20	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	190.0
21	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	52.0
22	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	195.0
23	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	51.0
24	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	164.0
25	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	53.0
26	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	185.0
27	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	52.0
28	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	188.0
29	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	54.0
30	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	213.0
31	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	64.0
32	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	47.0
33	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	224.0
34	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	59.0
35	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	49.0
36	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	237.0
37	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	61.0
38	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	49.0
39	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	236.0
40	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	55.0
41	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	63.0
42	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	223.0
43	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	64.0
44	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	52.0
45	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	188.0
46	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	58.0
47	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	53.0
48	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	229.0
49	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	49.0
50	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	45.0
51	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	232.0
52	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	59.0
53	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	61.0
54	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	157.0
55	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	54.0
56	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	49.0
57	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	231.0
58	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	65.0
59	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	51.0
60	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	227.0
61	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	54.0
62	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	58.0
63	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	237.0
64	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	68.0
65	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	52.0
66	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	281.0
67	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	70.0
68	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	44.0
69	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	261.0
70	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	71.0
71	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	50.0
72	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	225.0
73	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	67.0
74	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	53.0
75	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23552.0
76	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23732.0
77	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	24437.0
78	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23159.0
79	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	24784.0
80	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23994.0
81	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	24236.0
82	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23240.0
83	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23809.0
84	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23328.0
85	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	22870.0
86	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23298.0
87	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23073.0
88	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23174.0
89	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23369.0
90	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23270.0
91	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23990.0
92	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	22623.0
93	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23088.0
94	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23683.0
95	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	22830.0
96	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23634.0
97	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	22923.0
98	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23929.0
99	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23284.0
100	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	22622.0
101	1.0	56.0	56.0	64.0	3.0	3.0	0.0	1.0	0.0	1.0	2.0	2.0	1.0	112.0	112.0	64.0	23350.0
