	relu_coeff	time_cost
0	2880.0	74.0
1	320.0	11.0
2	1024.0	32.0
3	2880.0	55.0
4	320.0	9.0
5	1024.0	30.0
6	2880.0	62.0
7	320.0	9.0
8	1024.0	47.0
9	2880.0	73.0
10	320.0	13.0
11	1024.0	35.0
12	2880.0	46.0
13	320.0	13.0
14	1024.0	21.0
15	2880.0	40.0
16	320.0	15.0
17	1024.0	36.0
18	2880.0	73.0
19	320.0	14.0
20	1024.0	24.0
21	2880.0	74.0
22	320.0	11.0
23	1024.0	29.0
24	2880.0	81.0
25	320.0	9.0
26	1024.0	35.0
27	2880.0	56.0
28	320.0	12.0
29	1024.0	26.0
30	2880.0	71.0
31	320.0	12.0
32	1024.0	23.0
33	2880.0	76.0
34	320.0	14.0
35	1024.0	35.0
36	2880.0	75.0
37	320.0	12.0
38	1024.0	30.0
39	2880.0	75.0
40	320.0	13.0
41	1024.0	33.0
42	2880.0	46.0
43	320.0	14.0
44	1024.0	30.0
45	3600.0	50.0
46	400.0	13.0
47	50.0	4.0
48	1338.0	22.0
49	3600.0	60.0
50	400.0	12.0
51	50.0	6.0
52	1338.0	39.0
53	3600.0	59.0
54	400.0	11.0
55	50.0	5.0
56	1338.0	28.0
57	3600.0	57.0
58	400.0	15.0
59	50.0	5.0
60	1338.0	42.0
61	3600.0	89.0
62	400.0	18.0
63	50.0	6.0
64	1338.0	35.0
65	3600.0	50.0
66	400.0	14.0
67	50.0	5.0
68	1338.0	24.0
69	3600.0	49.0
70	400.0	9.0
71	50.0	4.0
72	1338.0	22.0
73	3600.0	57.0
74	400.0	17.0
75	50.0	5.0
76	1338.0	39.0
77	3600.0	84.0
78	400.0	11.0
79	50.0	5.0
80	1338.0	22.0
81	3600.0	85.0
82	400.0	14.0
83	50.0	5.0
84	1338.0	38.0
85	3600.0	89.0
86	400.0	15.0
87	50.0	5.0
88	1338.0	38.0
89	3600.0	88.0
90	400.0	14.0
91	50.0	5.0
92	1338.0	42.0
93	3600.0	58.0
94	400.0	11.0
95	50.0	4.0
96	1338.0	41.0
97	3600.0	57.0
98	400.0	17.0
99	50.0	6.0
100	1338.0	39.0
101	3600.0	91.0
102	400.0	14.0
103	50.0	6.0
104	1338.0	43.0
105	200704.0	2623.0
106	200704.0	3604.0
107	200704.0	3513.0
108	802816.0	11301.0
109	200704.0	2673.0
110	200704.0	2602.0
111	802816.0	12041.0
112	200704.0	2653.0
113	200704.0	2699.0
114	802816.0	11181.0
115	401408.0	6147.0
116	100352.0	1763.0
117	401408.0	6389.0
118	100352.0	1061.0
119	100352.0	1909.0
120	401408.0	5422.0
121	100352.0	1807.0
122	100352.0	1757.0
123	401408.0	6376.0
124	100352.0	1875.0
125	100352.0	1044.0
126	401408.0	5611.0
127	200704.0	2909.0
128	50176.0	1277.0
129	200704.0	2864.0
130	50176.0	645.0
131	50176.0	565.0
132	200704.0	3638.0
133	50176.0	1333.0
134	50176.0	618.0
135	200704.0	2899.0
136	50176.0	549.0
137	50176.0	1304.0
138	200704.0	2805.0
139	50176.0	515.0
140	50176.0	490.0
141	200704.0	3587.0
142	50176.0	1295.0
143	50176.0	556.0
144	200704.0	2927.0
145	100352.0	1059.0
146	25088.0	1131.0
147	100352.0	1840.0
148	25088.0	332.0
149	25088.0	316.0
150	100352.0	1804.0
151	25088.0	310.0
152	25088.0	333.0
153	100352.0	1014.0
154	200704.0	2801.0
155	200704.0	3508.0
156	200704.0	3675.0
157	802816.0	11092.0
158	200704.0	2687.0
159	200704.0	2678.0
160	802816.0	11992.0
161	200704.0	2699.0
162	200704.0	2619.0
163	802816.0	11340.0
164	401408.0	5986.0
165	100352.0	1871.0
166	401408.0	6081.0
167	100352.0	1020.0
168	100352.0	1823.0
169	401408.0	5629.0
170	100352.0	1829.0
171	100352.0	1949.0
172	401408.0	6386.0
173	100352.0	1883.0
174	100352.0	1068.0
175	401408.0	5322.0
176	200704.0	2838.0
177	50176.0	1291.0
178	200704.0	2832.0
179	50176.0	551.0
180	50176.0	553.0
181	200704.0	3726.0
182	50176.0	1402.0
183	50176.0	543.0
184	200704.0	2678.0
185	50176.0	562.0
186	50176.0	1265.0
187	200704.0	2778.0
188	50176.0	544.0
189	50176.0	561.0
190	200704.0	3621.0
191	50176.0	1209.0
192	50176.0	570.0
193	200704.0	2887.0
194	100352.0	1078.0
195	25088.0	1214.0
196	100352.0	1767.0
197	25088.0	330.0
198	25088.0	393.0
199	100352.0	1793.0
200	25088.0	325.0
201	25088.0	285.0
202	100352.0	1075.0
203	200704.0	2842.0
204	200704.0	3729.0
205	200704.0	3578.0
206	802816.0	11333.0
207	200704.0	2754.0
208	200704.0	2684.0
209	802816.0	12006.0
210	200704.0	2644.0
211	200704.0	2543.0
212	802816.0	11147.0
213	401408.0	6109.0
214	100352.0	1722.0
215	401408.0	6015.0
216	100352.0	1063.0
217	100352.0	1810.0
218	401408.0	5160.0
219	100352.0	1851.0
220	100352.0	1738.0
221	401408.0	6142.0
222	100352.0	1717.0
223	100352.0	1081.0
224	401408.0	5044.0
225	200704.0	2652.0
226	50176.0	1235.0
227	200704.0	2645.0
228	50176.0	581.0
229	50176.0	580.0
230	200704.0	3433.0
231	50176.0	1195.0
232	50176.0	515.0
233	200704.0	2694.0
234	50176.0	547.0
235	50176.0	1267.0
236	200704.0	2683.0
237	50176.0	562.0
238	50176.0	550.0
239	200704.0	3423.0
240	50176.0	1234.0
241	50176.0	542.0
242	200704.0	2703.0
243	100352.0	1004.0
244	25088.0	942.0
245	100352.0	1746.0
246	25088.0	278.0
247	25088.0	286.0
248	100352.0	1732.0
249	25088.0	287.0
250	25088.0	352.0
251	100352.0	1098.0
252	200704.0	2798.0
253	200704.0	3378.0
254	200704.0	3397.0
255	802816.0	10939.0
256	200704.0	2644.0
257	200704.0	2686.0
258	802816.0	11944.0
259	200704.0	2636.0
260	200704.0	2686.0
261	802816.0	10736.0
262	401408.0	6098.0
263	100352.0	1709.0
264	401408.0	6053.0
265	100352.0	1130.0
266	100352.0	1748.0
267	401408.0	5290.0
268	100352.0	1706.0
269	100352.0	1750.0
270	401408.0	6082.0
271	100352.0	1720.0
272	100352.0	1026.0
273	401408.0	5105.0
274	200704.0	2870.0
275	50176.0	1225.0
276	200704.0	2651.0
277	50176.0	570.0
278	50176.0	557.0
279	200704.0	3388.0
280	50176.0	1149.0
281	50176.0	499.0
282	200704.0	2704.0
283	50176.0	572.0
284	50176.0	1197.0
285	200704.0	2665.0
286	50176.0	549.0
287	50176.0	566.0
288	200704.0	3420.0
289	50176.0	1226.0
290	50176.0	576.0
291	200704.0	2696.0
292	100352.0	1063.0
293	25088.0	1001.0
294	100352.0	1807.0
295	25088.0	328.0
296	25088.0	328.0
297	100352.0	1779.0
298	25088.0	352.0
299	25088.0	351.0
300	100352.0	1034.0
301	200704.0	2908.0
302	200704.0	3800.0
303	200704.0	3659.0
304	802816.0	11500.0
305	200704.0	2626.0
306	200704.0	2759.0
307	802816.0	11654.0
308	200704.0	2795.0
309	200704.0	2864.0
310	802816.0	11204.0
311	401408.0	6082.0
312	100352.0	1719.0
313	401408.0	6316.0
314	100352.0	1008.0
315	100352.0	2066.0
316	401408.0	5208.0
317	100352.0	1773.0
318	100352.0	1952.0
319	401408.0	6066.0
320	100352.0	1740.0
321	100352.0	1037.0
322	401408.0	5268.0
323	200704.0	2695.0
324	50176.0	1227.0
325	200704.0	2835.0
326	50176.0	524.0
327	50176.0	502.0
328	200704.0	3829.0
329	50176.0	1315.0
330	50176.0	555.0
331	200704.0	2772.0
332	50176.0	575.0
333	50176.0	1243.0
334	200704.0	2929.0
335	50176.0	577.0
336	50176.0	491.0
337	200704.0	3412.0
338	50176.0	1247.0
339	50176.0	563.0
340	200704.0	2764.0
341	100352.0	1043.0
342	25088.0	907.0
343	100352.0	1789.0
344	25088.0	332.0
345	25088.0	328.0
346	100352.0	1928.0
347	25088.0	335.0
348	25088.0	340.0
349	100352.0	1083.0
350	200704.0	2730.0
351	200704.0	3447.0
352	200704.0	3626.0
353	802816.0	11380.0
354	200704.0	2761.0
355	200704.0	2672.0
356	802816.0	11761.0
357	200704.0	2619.0
358	200704.0	2930.0
359	802816.0	11173.0
360	401408.0	5931.0
361	100352.0	1771.0
362	401408.0	6044.0
363	100352.0	1056.0
364	100352.0	1780.0
365	401408.0	5418.0
366	100352.0	1782.0
367	100352.0	1931.0
368	401408.0	6852.0
369	100352.0	1936.0
370	100352.0	1074.0
371	401408.0	5391.0
372	200704.0	2704.0
373	50176.0	1203.0
374	200704.0	2769.0
375	50176.0	545.0
376	50176.0	558.0
377	200704.0	3638.0
378	50176.0	1312.0
379	50176.0	577.0
380	200704.0	2987.0
381	50176.0	550.0
382	50176.0	1316.0
383	200704.0	2725.0
384	50176.0	506.0
385	50176.0	546.0
386	200704.0	3774.0
387	50176.0	1265.0
388	50176.0	497.0
389	200704.0	2695.0
390	100352.0	1051.0
391	25088.0	1013.0
392	100352.0	1897.0
393	25088.0	280.0
394	25088.0	289.0
395	100352.0	1854.0
396	25088.0	310.0
397	25088.0	334.0
398	100352.0	1041.0
399	200704.0	2780.0
400	200704.0	3633.0
401	200704.0	3666.0
402	802816.0	11195.0
403	200704.0	2739.0
404	200704.0	2768.0
405	802816.0	11560.0
406	200704.0	2808.0
407	200704.0	2699.0
408	802816.0	10803.0
409	401408.0	5993.0
410	100352.0	1643.0
411	401408.0	5998.0
412	100352.0	1074.0
413	100352.0	1735.0
414	401408.0	5229.0
415	100352.0	1803.0
416	100352.0	1737.0
417	401408.0	5876.0
418	100352.0	1729.0
419	100352.0	1056.0
420	401408.0	5027.0
421	200704.0	2599.0
422	50176.0	1248.0
423	200704.0	2666.0
424	50176.0	578.0
425	50176.0	566.0
426	200704.0	3447.0
427	50176.0	1230.0
428	50176.0	557.0
429	200704.0	2642.0
430	50176.0	490.0
431	50176.0	1156.0
432	200704.0	2726.0
433	50176.0	604.0
434	50176.0	566.0
435	200704.0	3375.0
436	50176.0	1266.0
437	50176.0	474.0
438	200704.0	2777.0
439	100352.0	1045.0
440	25088.0	966.0
441	100352.0	1709.0
442	25088.0	325.0
443	25088.0	342.0
444	100352.0	1701.0
445	25088.0	274.0
446	25088.0	325.0
447	100352.0	1035.0
448	200704.0	2815.0
449	200704.0	3391.0
450	200704.0	3452.0
451	802816.0	10800.0
452	200704.0	2670.0
453	200704.0	2606.0
454	802816.0	12055.0
455	200704.0	2671.0
456	200704.0	2642.0
457	802816.0	10650.0
458	401408.0	5840.0
459	100352.0	1681.0
460	401408.0	5952.0
461	100352.0	1000.0
