	trunc_coeff	time_cost
0	10.0	7.0
1	10.0	6.0
2	10.0	8.0
3	10.0	8.0
4	10.0	6.0
5	10.0	7.0
6	10.0	7.0
7	10.0	4.0
8	10.0	7.0
9	10.0	8.0
10	10.0	7.0
11	10.0	7.0
12	10.0	8.0
13	10.0	7.0
14	10.0	7.0
15	10.0	6.0
16	10.0	6.0
17	10.0	7.0
18	10.0	7.0
19	10.0	7.0
20	10.0	7.0
21	10.0	6.0
22	10.0	6.0
23	10.0	7.0
24	10.0	7.0
25	10.0	6.0
26	10.0	8.0
27	10.0	6.0
28	10.0	6.0
29	10.0	7.0
30	200704.0	3302.0
31	802816.0	13573.0
32	802816.0	13498.0
33	802816.0	12913.0
34	401408.0	6147.0
35	100352.0	2086.0
36	401408.0	7173.0
37	401408.0	6609.0
38	401408.0	7268.0
39	200704.0	4208.0
40	200704.0	3435.0
41	200704.0	3398.0
42	200704.0	4223.0
43	200704.0	3355.0
44	200704.0	3381.0
45	100352.0	2154.0
46	100352.0	1492.0
47	100352.0	2177.0
48	200704.0	3169.0
49	802816.0	12867.0
50	802816.0	13571.0
51	802816.0	12845.0
52	401408.0	6415.0
53	100352.0	2079.0
54	401408.0	7362.0
55	401408.0	6562.0
56	401408.0	7196.0
57	200704.0	4293.0
58	200704.0	3380.0
59	200704.0	3307.0
60	200704.0	4315.0
61	200704.0	3296.0
62	200704.0	3324.0
63	100352.0	2242.0
64	100352.0	1508.0
65	100352.0	2676.0
66	200704.0	3343.0
67	802816.0	13610.0
68	802816.0	13373.0
69	802816.0	12787.0
70	401408.0	6065.0
71	100352.0	2044.0
72	401408.0	7178.0
73	401408.0	5995.0
74	401408.0	7375.0
75	200704.0	4077.0
76	200704.0	3213.0
77	200704.0	3139.0
78	200704.0	4101.0
79	200704.0	3197.0
80	200704.0	3196.0
81	100352.0	2149.0
82	100352.0	1449.0
83	100352.0	2588.0
84	200704.0	2962.0
85	802816.0	12721.0
86	802816.0	13319.0
87	802816.0	12402.0
88	401408.0	6203.0
89	100352.0	2091.0
90	401408.0	7043.0
91	401408.0	6219.0
92	401408.0	6954.0
93	200704.0	4014.0
94	200704.0	3241.0
95	200704.0	3196.0
96	200704.0	4052.0
97	200704.0	3208.0
98	200704.0	3264.0
99	100352.0	2186.0
100	100352.0	1744.0
101	100352.0	2294.0
102	200704.0	3449.0
103	802816.0	12902.0
104	802816.0	14118.0
105	802816.0	13024.0
106	401408.0	6272.0
107	100352.0	1991.0
108	401408.0	7709.0
109	401408.0	6476.0
110	401408.0	6836.0
111	200704.0	4158.0
112	200704.0	3281.0
113	200704.0	3302.0
114	200704.0	4068.0
115	200704.0	3191.0
116	200704.0	3415.0
117	100352.0	2144.0
118	100352.0	1506.0
119	100352.0	2410.0
120	200704.0	3298.0
121	802816.0	12658.0
122	802816.0	13518.0
123	802816.0	13114.0
124	401408.0	6139.0
125	100352.0	2087.0
126	401408.0	7204.0
127	401408.0	6454.0
128	401408.0	6879.0
129	200704.0	4422.0
130	200704.0	3312.0
131	200704.0	3266.0
132	200704.0	4206.0
133	200704.0	3274.0
134	200704.0	3405.0
135	100352.0	2651.0
136	100352.0	1459.0
137	100352.0	2164.0
138	200704.0	3047.0
139	802816.0	13005.0
140	802816.0	13404.0
141	802816.0	12639.0
142	401408.0	6322.0
143	100352.0	2049.0
144	401408.0	6978.0
145	401408.0	6057.0
146	401408.0	6771.0
147	200704.0	4126.0
148	200704.0	3353.0
149	200704.0	3180.0
150	200704.0	3978.0
151	200704.0	3173.0
152	200704.0	3270.0
153	100352.0	2462.0
154	100352.0	1955.0
155	100352.0	2227.0
156	200704.0	3049.0
157	802816.0	12653.0
158	802816.0	13072.0
159	802816.0	12383.0
160	401408.0	6072.0
161	100352.0	1998.0
162	401408.0	6827.0
163	401408.0	6263.0
164	401408.0	6715.0
165	200704.0	3985.0
166	200704.0	3330.0
167	200704.0	3220.0
168	200704.0	4031.0
169	200704.0	3192.0
170	200704.0	3191.0
171	100352.0	2487.0
172	100352.0	1501.0
173	100352.0	2504.0
174	200704.0	2951.0
175	802816.0	12847.0
176	802816.0	13533.0
177	802816.0	12688.0
178	401408.0	6196.0
179	100352.0	2019.0
180	401408.0	6924.0
181	401408.0	6254.0
182	401408.0	7098.0
183	200704.0	3933.0
184	200704.0	3214.0
185	200704.0	3236.0
186	200704.0	4232.0
187	200704.0	3543.0
188	200704.0	3252.0
189	100352.0	2338.0
190	100352.0	1459.0
191	100352.0	2046.0
192	200704.0	3162.0
193	802816.0	12810.0
194	802816.0	13369.0
195	802816.0	12581.0
196	401408.0	6280.0
197	100352.0	2094.0
198	401408.0	6933.0
199	401408.0	6191.0
200	401408.0	6710.0
201	200704.0	3937.0
202	200704.0	3160.0
203	200704.0	3197.0
204	200704.0	4310.0
205	200704.0	3287.0
206	200704.0	3152.0
207	100352.0	2163.0
208	100352.0	1482.0
209	100352.0	2123.0
210	200704.0	2903.0
211	802816.0	13543.0
212	802816.0	13478.0
213	802816.0	13169.0
214	401408.0	6591.0
215	100352.0	2053.0
216	401408.0	7072.0
217	401408.0	6368.0
218	401408.0	6749.0
219	200704.0	4018.0
220	200704.0	3330.0
221	200704.0	3379.0
222	200704.0	3980.0
223	200704.0	3284.0
224	200704.0	3209.0
225	100352.0	2599.0
226	100352.0	1520.0
227	100352.0	2116.0
228	200704.0	3025.0
229	802816.0	13268.0
230	802816.0	13614.0
231	802816.0	12882.0
232	401408.0	6262.0
233	100352.0	1968.0
234	401408.0	7377.0
235	401408.0	6169.0
236	401408.0	7189.0
237	200704.0	4096.0
238	200704.0	3470.0
239	200704.0	3352.0
240	200704.0	3991.0
241	200704.0	3232.0
242	200704.0	3208.0
243	100352.0	2167.0
244	100352.0	1502.0
245	100352.0	2398.0
246	200704.0	2916.0
247	802816.0	12899.0
248	802816.0	13355.0
249	802816.0	12579.0
250	401408.0	6316.0
251	100352.0	2173.0
252	401408.0	7153.0
253	401408.0	6237.0
254	401408.0	6808.0
255	200704.0	4078.0
256	200704.0	3239.0
257	200704.0	3336.0
258	200704.0	4090.0
259	200704.0	3342.0
260	200704.0	3370.0
261	100352.0	2629.0
262	100352.0	1475.0
263	100352.0	2709.0
264	200704.0	3019.0
265	802816.0	13829.0
266	802816.0	13139.0
267	802816.0	12678.0
268	401408.0	6183.0
269	100352.0	2097.0
270	401408.0	7070.0
271	401408.0	6270.0
272	401408.0	6852.0
273	200704.0	4000.0
274	200704.0	3229.0
275	200704.0	3243.0
276	200704.0	4094.0
277	200704.0	3313.0
278	200704.0	3359.0
279	100352.0	2321.0
280	100352.0	1365.0
281	100352.0	2099.0
282	200704.0	3097.0
283	802816.0	13766.0
284	802816.0	14020.0
285	802816.0	13182.0
286	401408.0	6425.0
287	100352.0	2204.0
288	401408.0	7311.0
289	401408.0	6489.0
290	401408.0	7062.0
291	200704.0	4251.0
292	200704.0	3335.0
293	200704.0	3407.0
294	200704.0	4364.0
295	200704.0	3330.0
296	200704.0	3368.0
297	100352.0	2430.0
298	100352.0	1465.0
299	100352.0	2187.0
300	100352.0	2393.0
301	100352.0	1546.0
302	100352.0	2368.0
303	100352.0	2414.0
304	100352.0	2334.0
305	100352.0	2406.0
306	100352.0	1956.0
307	25088.0	495.0
308	25088.0	519.0
309	25088.0	487.0
310	100352.0	1387.0
311	25088.0	510.0
312	25088.0	527.0
313	25088.0	493.0
314	25088.0	511.0
315	25088.0	482.0
316	25088.0	1267.0
317	25088.0	499.0
318	25088.0	465.0
319	25088.0	424.0
320	50176.0	1334.0
321	6272.0	173.0
322	6272.0	192.0
323	6272.0	187.0
324	6272.0	204.0
325	6272.0	199.0
326	6272.0	191.0
327	6272.0	196.0
328	6272.0	187.0
329	6272.0	199.0
330	6272.0	178.0
331	6272.0	198.0
332	6272.0	194.0
333	6272.0	1009.0
334	6272.0	184.0
335	6272.0	209.0
336	6272.0	197.0
337	6272.0	198.0
338	6272.0	197.0
339	6272.0	188.0
340	6272.0	196.0
341	6272.0	187.0
342	6272.0	206.0
343	6272.0	183.0
344	6272.0	209.0
345	25088.0	317.0
346	1568.0	58.0
347	1568.0	69.0
348	1568.0	82.0
349	1568.0	77.0
350	1568.0	97.0
351	1568.0	80.0
352	1568.0	61.0
353	1568.0	66.0
354	1568.0	91.0
355	1568.0	77.0
356	1568.0	58.0
357	1568.0	100.0
358	1568.0	78.0
359	1568.0	76.0
360	1568.0	74.0
361	1568.0	64.0
362	100352.0	2343.0
363	100352.0	1480.0
364	100352.0	2314.0
365	100352.0	2240.0
366	100352.0	2230.0
367	100352.0	2234.0
368	100352.0	1819.0
369	25088.0	485.0
370	25088.0	478.0
371	25088.0	454.0
372	100352.0	1334.0
373	25088.0	493.0
374	25088.0	495.0
375	25088.0	473.0
376	25088.0	440.0
377	25088.0	425.0
378	25088.0	1149.0
379	25088.0	497.0
380	25088.0	490.0
381	25088.0	467.0
382	50176.0	1278.0
383	6272.0	204.0
384	6272.0	203.0
385	6272.0	200.0
386	6272.0	175.0
387	6272.0	179.0
388	6272.0	190.0
389	6272.0	151.0
390	6272.0	193.0
391	6272.0	190.0
392	6272.0	194.0
393	6272.0	191.0
394	6272.0	193.0
395	6272.0	876.0
396	6272.0	152.0
397	6272.0	124.0
398	6272.0	190.0
399	6272.0	179.0
400	6272.0	189.0
401	6272.0	169.0
402	6272.0	190.0
403	6272.0	186.0
404	6272.0	172.0
405	6272.0	173.0
406	6272.0	155.0
407	25088.0	299.0
408	1568.0	73.0
409	1568.0	67.0
410	1568.0	64.0
411	1568.0	69.0
412	1568.0	59.0
413	1568.0	69.0
414	1568.0	75.0
415	1568.0	80.0
416	1568.0	76.0
417	1568.0	84.0
418	1568.0	72.0
419	1568.0	59.0
420	1568.0	55.0
421	1568.0	74.0
422	1568.0	75.0
423	1568.0	59.0
424	100352.0	2187.0
425	100352.0	1501.0
426	100352.0	2209.0
427	100352.0	2141.0
428	100352.0	2262.0
429	100352.0	2184.0
430	100352.0	1860.0
431	25088.0	494.0
432	25088.0	492.0
433	25088.0	467.0
434	100352.0	1418.0
435	25088.0	475.0
436	25088.0	497.0
437	25088.0	405.0
438	25088.0	496.0
439	25088.0	433.0
440	25088.0	1132.0
441	25088.0	461.0
442	25088.0	482.0
443	25088.0	468.0
444	50176.0	1252.0
445	6272.0	177.0
446	6272.0	136.0
447	6272.0	130.0
448	6272.0	185.0
449	6272.0	189.0
450	6272.0	142.0
451	6272.0	187.0
452	6272.0	163.0
453	6272.0	190.0
454	6272.0	148.0
455	6272.0	169.0
456	6272.0	200.0
457	6272.0	882.0
458	6272.0	154.0
459	6272.0	203.0
460	6272.0	179.0
461	6272.0	179.0
462	6272.0	148.0
463	6272.0	180.0
464	6272.0	151.0
465	6272.0	183.0
466	6272.0	188.0
467	6272.0	187.0
468	6272.0	166.0
469	25088.0	306.0
470	1568.0	58.0
471	1568.0	73.0
472	1568.0	80.0
