	relu_coeff	time_cost
0	2880.0	150.0
1	320.0	86.0
2	1024.0	164.0
3	2880.0	149.0
4	320.0	87.0
5	1024.0	150.0
6	2880.0	152.0
7	320.0	88.0
8	1024.0	163.0
9	2880.0	139.0
10	320.0	88.0
11	1024.0	153.0
12	2880.0	144.0
13	320.0	87.0
14	1024.0	158.0
15	2880.0	145.0
16	320.0	86.0
17	1024.0	152.0
18	2880.0	144.0
19	320.0	84.0
20	1024.0	160.0
21	2880.0	148.0
22	320.0	87.0
23	1024.0	163.0
24	2880.0	149.0
25	320.0	87.0
26	1024.0	163.0
27	2880.0	141.0
28	320.0	87.0
29	1024.0	164.0
30	3600.0	160.0
31	400.0	87.0
32	50.0	79.0
33	1338.0	135.0
34	3600.0	119.0
35	400.0	85.0
36	50.0	78.0
37	1338.0	147.0
38	3600.0	156.0
39	400.0	89.0
40	50.0	82.0
41	1338.0	134.0
42	3600.0	124.0
43	400.0	89.0
44	50.0	76.0
45	1338.0	134.0
46	3600.0	121.0
47	400.0	90.0
48	50.0	80.0
49	1338.0	128.0
50	3600.0	137.0
51	400.0	88.0
52	50.0	77.0
53	1338.0	138.0
54	3600.0	146.0
55	400.0	92.0
56	50.0	81.0
57	1338.0	138.0
58	3600.0	124.0
59	400.0	87.0
60	50.0	80.0
61	1338.0	136.0
62	3600.0	163.0
63	400.0	88.0
64	50.0	78.0
65	1338.0	139.0
66	3600.0	118.0
67	400.0	89.0
68	50.0	79.0
69	1338.0	141.0
70	200704.0	3232.0
71	200704.0	4043.0
72	200704.0	4172.0
73	802816.0	12196.0
74	200704.0	3209.0
75	200704.0	3180.0
76	802816.0	13459.0
77	200704.0	3414.0
78	200704.0	3513.0
79	802816.0	12130.0
80	401408.0	6795.0
81	100352.0	1995.0
82	401408.0	6888.0
83	100352.0	1391.0
84	100352.0	2207.0
85	401408.0	5970.0
86	100352.0	2253.0
87	100352.0	2252.0
88	401408.0	6476.0
89	100352.0	2026.0
90	100352.0	1461.0
91	401408.0	6209.0
92	200704.0	3121.0
93	50176.0	1557.0
94	200704.0	3164.0
95	50176.0	826.0
96	50176.0	902.0
97	200704.0	4018.0
98	50176.0	1535.0
