	BN1_C	BN1_H	BN1_W	time_cost
0	64.0	56.0	56.0	196.0
1	256.0	56.0	56.0	629.0
2	256.0	56.0	56.0	621.0
3	256.0	56.0	56.0	610.0
4	64.0	56.0	56.0	180.0
5	256.0	56.0	56.0	613.0
6	256.0	56.0	56.0	566.0
7	256.0	56.0	56.0	604.0
8	64.0	56.0	56.0	189.0
9	256.0	56.0	56.0	638.0
10	256.0	56.0	56.0	630.0
11	256.0	56.0	56.0	617.0
12	64.0	56.0	56.0	192.0
13	256.0	56.0	56.0	684.0
14	256.0	56.0	56.0	616.0
15	256.0	56.0	56.0	577.0
16	64.0	56.0	56.0	202.0
17	256.0	56.0	56.0	629.0
18	256.0	56.0	56.0	618.0
19	256.0	56.0	56.0	583.0
20	64.0	56.0	56.0	178.0
21	256.0	56.0	56.0	634.0
22	256.0	56.0	56.0	624.0
23	256.0	56.0	56.0	584.0
24	64.0	56.0	56.0	233.0
25	256.0	56.0	56.0	617.0
26	256.0	56.0	56.0	580.0
27	256.0	56.0	56.0	661.0
28	64.0	56.0	56.0	206.0
29	256.0	56.0	56.0	677.0
30	256.0	56.0	56.0	631.0
31	256.0	56.0	56.0	560.0
32	64.0	56.0	56.0	164.0
33	256.0	56.0	56.0	691.0
34	256.0	56.0	56.0	635.0
35	256.0	56.0	56.0	600.0
36	64.0	56.0	56.0	221.0
37	256.0	56.0	56.0	645.0
38	256.0	56.0	56.0	628.0
39	256.0	56.0	56.0	565.0
40	64.0	56.0	56.0	155.0
41	256.0	56.0	56.0	602.0
42	256.0	56.0	56.0	610.0
43	256.0	56.0	56.0	628.0
44	64.0	56.0	56.0	210.0
45	256.0	56.0	56.0	662.0
46	256.0	56.0	56.0	618.0
47	256.0	56.0	56.0	588.0
48	64.0	56.0	56.0	222.0
49	256.0	56.0	56.0	679.0
50	256.0	56.0	56.0	582.0
51	256.0	56.0	56.0	666.0
52	64.0	56.0	56.0	180.0
53	256.0	56.0	56.0	640.0
54	256.0	56.0	56.0	600.0
55	256.0	56.0	56.0	563.0
56	64.0	56.0	56.0	172.0
57	256.0	56.0	56.0	640.0
58	256.0	56.0	56.0	615.0
59	256.0	56.0	56.0	619.0
