	BN2_C	BN2_H	BN2_W	time_cost
0	512.0	28.0	28.0	881.0
1	128.0	28.0	28.0	206.0
2	512.0	28.0	28.0	850.0
3	512.0	28.0	28.0	830.0
4	512.0	28.0	28.0	855.0
5	1024.0	14.0	14.0	383.0
6	1024.0	14.0	14.0	499.0
7	1024.0	14.0	14.0	429.0
8	1024.0	14.0	14.0	470.0
9	1024.0	14.0	14.0	400.0
10	1024.0	14.0	14.0	389.0
11	2048.0	7.0	7.0	200.0
12	2048.0	7.0	7.0	201.0
13	7.0	7.0	2048.0	196.0
14	512.0	28.0	28.0	829.0
15	128.0	28.0	28.0	204.0
16	512.0	28.0	28.0	867.0
17	512.0	28.0	28.0	844.0
18	512.0	28.0	28.0	841.0
19	1024.0	14.0	14.0	421.0
20	1024.0	14.0	14.0	408.0
21	1024.0	14.0	14.0	397.0
22	1024.0	14.0	14.0	381.0
23	1024.0	14.0	14.0	428.0
24	1024.0	14.0	14.0	396.0
25	2048.0	7.0	7.0	231.0
26	2048.0	7.0	7.0	200.0
27	7.0	7.0	2048.0	208.0
28	512.0	28.0	28.0	841.0
29	128.0	28.0	28.0	234.0
30	512.0	28.0	28.0	941.0
31	512.0	28.0	28.0	857.0
32	512.0	28.0	28.0	775.0
33	1024.0	14.0	14.0	406.0
34	1024.0	14.0	14.0	414.0
35	1024.0	14.0	14.0	408.0
36	1024.0	14.0	14.0	465.0
37	1024.0	14.0	14.0	422.0
38	1024.0	14.0	14.0	479.0
39	2048.0	7.0	7.0	194.0
40	2048.0	7.0	7.0	208.0
41	7.0	7.0	2048.0	258.0
42	512.0	28.0	28.0	881.0
43	128.0	28.0	28.0	157.0
44	512.0	28.0	28.0	771.0
45	512.0	28.0	28.0	841.0
46	512.0	28.0	28.0	849.0
47	1024.0	14.0	14.0	457.0
48	1024.0	14.0	14.0	393.0
49	1024.0	14.0	14.0	467.0
50	1024.0	14.0	14.0	378.0
51	1024.0	14.0	14.0	359.0
52	1024.0	14.0	14.0	466.0
53	2048.0	7.0	7.0	179.0
54	2048.0	7.0	7.0	203.0
55	7.0	7.0	2048.0	195.0
56	512.0	28.0	28.0	761.0
57	128.0	28.0	28.0	200.0
58	512.0	28.0	28.0	797.0
59	512.0	28.0	28.0	780.0
60	512.0	28.0	28.0	899.0
61	1024.0	14.0	14.0	404.0
62	1024.0	14.0	14.0	377.0
63	1024.0	14.0	14.0	420.0
64	1024.0	14.0	14.0	446.0
65	1024.0	14.0	14.0	425.0
66	1024.0	14.0	14.0	423.0
67	2048.0	7.0	7.0	192.0
68	2048.0	7.0	7.0	233.0
69	7.0	7.0	2048.0	199.0
70	512.0	28.0	28.0	838.0
71	128.0	28.0	28.0	161.0
72	512.0	28.0	28.0	789.0
73	512.0	28.0	28.0	865.0
74	512.0	28.0	28.0	862.0
75	1024.0	14.0	14.0	522.0
76	1024.0	14.0	14.0	433.0
77	1024.0	14.0	14.0	429.0
78	1024.0	14.0	14.0	493.0
79	1024.0	14.0	14.0	396.0
80	1024.0	14.0	14.0	450.0
81	2048.0	7.0	7.0	204.0
82	2048.0	7.0	7.0	195.0
83	7.0	7.0	2048.0	199.0
84	512.0	28.0	28.0	906.0
85	128.0	28.0	28.0	207.0
86	512.0	28.0	28.0	726.0
87	512.0	28.0	28.0	851.0
88	512.0	28.0	28.0	867.0
89	1024.0	14.0	14.0	408.0
90	1024.0	14.0	14.0	433.0
91	1024.0	14.0	14.0	415.0
92	1024.0	14.0	14.0	401.0
93	1024.0	14.0	14.0	343.0
94	1024.0	14.0	14.0	449.0
95	2048.0	7.0	7.0	201.0
96	2048.0	7.0	7.0	196.0
97	7.0	7.0	2048.0	197.0
98	512.0	28.0	28.0	835.0
99	128.0	28.0	28.0	238.0
100	512.0	28.0	28.0	927.0
101	512.0	28.0	28.0	840.0
102	512.0	28.0	28.0	881.0
103	1024.0	14.0	14.0	489.0
104	1024.0	14.0	14.0	402.0
105	1024.0	14.0	14.0	458.0
106	1024.0	14.0	14.0	449.0
107	1024.0	14.0	14.0	429.0
108	1024.0	14.0	14.0	361.0
109	2048.0	7.0	7.0	272.0
110	2048.0	7.0	7.0	213.0
111	7.0	7.0	2048.0	254.0
112	512.0	28.0	28.0	835.0
113	128.0	28.0	28.0	204.0
114	512.0	28.0	28.0	780.0
115	512.0	28.0	28.0	813.0
116	512.0	28.0	28.0	788.0
117	1024.0	14.0	14.0	419.0
118	1024.0	14.0	14.0	409.0
119	1024.0	14.0	14.0	449.0
120	1024.0	14.0	14.0	462.0
121	1024.0	14.0	14.0	461.0
122	1024.0	14.0	14.0	410.0
123	2048.0	7.0	7.0	194.0
124	2048.0	7.0	7.0	198.0
125	7.0	7.0	2048.0	209.0
126	512.0	28.0	28.0	851.0
127	128.0	28.0	28.0	208.0
128	512.0	28.0	28.0	830.0
129	512.0	28.0	28.0	823.0
130	512.0	28.0	28.0	882.0
131	1024.0	14.0	14.0	431.0
132	1024.0	14.0	14.0	396.0
133	1024.0	14.0	14.0	447.0
134	1024.0	14.0	14.0	412.0
135	1024.0	14.0	14.0	428.0
136	1024.0	14.0	14.0	361.0
137	2048.0	7.0	7.0	248.0
138	2048.0	7.0	7.0	162.0
139	7.0	7.0	2048.0	190.0
140	512.0	28.0	28.0	903.0
141	128.0	28.0	28.0	190.0
142	512.0	28.0	28.0	816.0
143	512.0	28.0	28.0	892.0
144	512.0	28.0	28.0	854.0
145	1024.0	14.0	14.0	443.0
146	1024.0	14.0	14.0	435.0
147	1024.0	14.0	14.0	404.0
148	1024.0	14.0	14.0	496.0
149	1024.0	14.0	14.0	402.0
150	1024.0	14.0	14.0	382.0
151	2048.0	7.0	7.0	250.0
152	2048.0	7.0	7.0	204.0
153	7.0	7.0	2048.0	183.0
154	512.0	28.0	28.0	806.0
155	128.0	28.0	28.0	202.0
156	512.0	28.0	28.0	825.0
157	512.0	28.0	28.0	848.0
158	512.0	28.0	28.0	910.0
159	1024.0	14.0	14.0	445.0
160	1024.0	14.0	14.0	397.0
161	1024.0	14.0	14.0	427.0
162	1024.0	14.0	14.0	380.0
163	1024.0	14.0	14.0	397.0
164	1024.0	14.0	14.0	395.0
165	2048.0	7.0	7.0	248.0
166	2048.0	7.0	7.0	194.0
167	7.0	7.0	2048.0	194.0
168	512.0	28.0	28.0	831.0
169	128.0	28.0	28.0	185.0
170	512.0	28.0	28.0	835.0
171	512.0	28.0	28.0	814.0
172	512.0	28.0	28.0	814.0
173	1024.0	14.0	14.0	469.0
174	1024.0	14.0	14.0	424.0
175	1024.0	14.0	14.0	461.0
176	1024.0	14.0	14.0	360.0
177	1024.0	14.0	14.0	367.0
178	1024.0	14.0	14.0	411.0
179	2048.0	7.0	7.0	224.0
