	BN2_coeff	time_cost
0	401408.0	698.0
1	100352.0	172.0
2	401408.0	644.0
3	401408.0	645.0
4	401408.0	640.0
5	200704.0	309.0
6	200704.0	404.0
7	200704.0	377.0
8	200704.0	390.0
9	200704.0	319.0
10	200704.0	303.0
11	100352.0	142.0
12	100352.0	142.0
13	100352.0	144.0
14	401408.0	625.0
15	100352.0	156.0
16	401408.0	649.0
17	401408.0	613.0
18	401408.0	636.0
19	200704.0	329.0
20	200704.0	323.0
21	200704.0	273.0
22	200704.0	309.0
23	200704.0	321.0
24	200704.0	303.0
25	100352.0	161.0
26	100352.0	155.0
27	100352.0	146.0
28	401408.0	672.0
29	100352.0	195.0
30	401408.0	645.0
31	401408.0	616.0
32	401408.0	659.0
33	200704.0	347.0
34	200704.0	365.0
35	200704.0	361.0
36	200704.0	358.0
37	200704.0	341.0
38	200704.0	379.0
39	100352.0	152.0
40	100352.0	165.0
41	100352.0	193.0
42	401408.0	685.0
43	100352.0	122.0
44	401408.0	536.0
45	401408.0	729.0
46	401408.0	628.0
47	200704.0	375.0
48	200704.0	349.0
49	200704.0	340.0
50	200704.0	321.0
51	200704.0	303.0
52	200704.0	372.0
53	100352.0	137.0
54	100352.0	135.0
55	100352.0	137.0
56	401408.0	592.0
57	100352.0	155.0
58	401408.0	606.0
59	401408.0	594.0
60	401408.0	683.0
61	200704.0	304.0
62	200704.0	299.0
63	200704.0	340.0
64	200704.0	361.0
65	200704.0	375.0
66	200704.0	338.0
67	100352.0	148.0
68	100352.0	184.0
69	100352.0	152.0
70	401408.0	660.0
71	100352.0	108.0
72	401408.0	613.0
73	401408.0	648.0
74	401408.0	626.0
75	200704.0	380.0
76	200704.0	364.0
77	200704.0	334.0
78	200704.0	384.0
79	200704.0	262.0
80	200704.0	370.0
81	100352.0	163.0
82	100352.0	154.0
83	100352.0	149.0
84	401408.0	667.0
85	100352.0	178.0
86	401408.0	606.0
87	401408.0	712.0
88	401408.0	660.0
89	200704.0	337.0
90	200704.0	347.0
91	200704.0	362.0
92	200704.0	348.0
93	200704.0	278.0
94	200704.0	399.0
95	100352.0	149.0
96	100352.0	156.0
97	100352.0	144.0
98	401408.0	637.0
99	100352.0	173.0
100	401408.0	683.0
101	401408.0	617.0
102	401408.0	659.0
103	200704.0	363.0
104	200704.0	339.0
105	200704.0	363.0
106	200704.0	362.0
107	200704.0	343.0
108	200704.0	295.0
109	100352.0	204.0
110	100352.0	160.0
111	100352.0	182.0
112	401408.0	609.0
113	100352.0	160.0
114	401408.0	619.0
115	401408.0	643.0
116	401408.0	606.0
117	200704.0	345.0
118	200704.0	322.0
119	200704.0	339.0
120	200704.0	396.0
121	200704.0	350.0
122	200704.0	328.0
123	100352.0	151.0
124	100352.0	159.0
125	100352.0	169.0
126	401408.0	618.0
127	100352.0	157.0
128	401408.0	617.0
129	401408.0	635.0
130	401408.0	649.0
131	200704.0	366.0
132	200704.0	328.0
133	200704.0	376.0
134	200704.0	331.0
135	200704.0	361.0
136	200704.0	310.0
137	100352.0	168.0
138	100352.0	118.0
139	100352.0	140.0
140	401408.0	662.0
141	100352.0	156.0
142	401408.0	659.0
143	401408.0	645.0
144	401408.0	661.0
145	200704.0	333.0
146	200704.0	349.0
147	200704.0	328.0
148	200704.0	401.0
149	200704.0	341.0
150	200704.0	285.0
151	100352.0	164.0
152	100352.0	158.0
153	100352.0	139.0
154	401408.0	602.0
155	100352.0	171.0
156	401408.0	636.0
157	401408.0	613.0
158	401408.0	662.0
159	200704.0	335.0
160	200704.0	305.0
161	200704.0	381.0
162	200704.0	301.0
163	200704.0	340.0
164	200704.0	349.0
165	100352.0	179.0
166	100352.0	153.0
167	100352.0	153.0
168	401408.0	647.0
169	100352.0	145.0
170	401408.0	670.0
171	401408.0	566.0
172	401408.0	627.0
173	200704.0	342.0
174	200704.0	277.0
175	200704.0	315.0
176	200704.0	291.0
177	200704.0	299.0
178	200704.0	335.0
179	100352.0	159.0
180	100352.0	159.0
181	100352.0	158.0
182	401408.0	616.0
183	100352.0	139.0
184	401408.0	697.0
185	401408.0	611.0
186	401408.0	605.0
187	200704.0	301.0
188	200704.0	313.0
189	200704.0	305.0
190	200704.0	293.0
191	200704.0	357.0
192	200704.0	332.0
193	100352.0	188.0
194	100352.0	165.0
195	100352.0	127.0
196	401408.0	670.0
197	100352.0	167.0
198	401408.0	608.0
199	401408.0	649.0
200	401408.0	621.0
201	200704.0	364.0
202	200704.0	318.0
203	200704.0	410.0
204	200704.0	291.0
205	200704.0	310.0
206	200704.0	339.0
207	100352.0	152.0
208	100352.0	148.0
209	100352.0	163.0
210	200704.0	314.0
211	301056.0	508.0
212	401408.0	616.0
213	501760.0	687.0
214	602112.0	844.0
215	702464.0	1078.0
216	802816.0	1072.0
217	100352.0	146.0
218	125440.0	194.0
219	150528.0	217.0
220	175616.0	280.0
221	100352.0	150.0
222	200704.0	267.0
223	225792.0	306.0
224	250880.0	376.0
225	275968.0	468.0
226	301056.0	473.0
227	326144.0	485.0
228	351232.0	518.0
229	376320.0	523.0
230	401408.0	553.0
231	50176.0	72.0
232	56448.0	80.0
233	62720.0	98.0
234	68992.0	92.0
235	75264.0	109.0
236	81536.0	116.0
237	87808.0	118.0
238	94080.0	117.0
239	100352.0	134.0
240	106624.0	163.0
241	112896.0	147.0
242	119168.0	161.0
243	125440.0	208.0
244	131712.0	197.0
245	137984.0	197.0
246	144256.0	219.0
247	150528.0	175.0
248	156800.0	202.0
249	163072.0	228.0
250	169344.0	244.0
251	175616.0	238.0
252	181888.0	275.0
253	188160.0	233.0
254	194432.0	306.0
255	200704.0	333.0
256	25088.0	45.0
257	26656.0	42.0
258	28224.0	41.0
259	29792.0	55.0
260	31360.0	53.0
261	32928.0	62.0
262	34496.0	48.0
263	36064.0	46.0
264	37632.0	48.0
265	39200.0	58.0
266	40768.0	45.0
267	42336.0	54.0
268	43904.0	68.0
269	45472.0	80.0
270	47040.0	60.0
271	48608.0	73.0
272	50176.0	77.0
273	200704.0	333.0
274	301056.0	483.0
275	401408.0	540.0
276	501760.0	777.0
277	602112.0	841.0
278	702464.0	979.0
279	802816.0	1070.0
280	100352.0	150.0
281	125440.0	195.0
282	150528.0	211.0
283	175616.0	272.0
284	100352.0	194.0
285	200704.0	295.0
286	225792.0	364.0
287	250880.0	297.0
288	275968.0	443.0
289	301056.0	459.0
290	326144.0	582.0
291	351232.0	561.0
292	376320.0	568.0
293	401408.0	445.0
294	50176.0	80.0
295	56448.0	85.0
296	62720.0	86.0
297	68992.0	88.0
298	75264.0	89.0
299	81536.0	120.0
300	87808.0	130.0
301	94080.0	133.0
302	100352.0	145.0
303	106624.0	153.0
