relu_coeff,count
3.0,150
27.0,300
48.0,195
50.0,15
64.0,15
75.0,300
108.0,15
128.0,30
147.0,30
243.0,15
256.0,15
300.0,150
320.0,15
400.0,30
432.0,15
507.0,45
576.0,30
588.0,45
784.0,15
800.0,30
1024.0,645
1152.0,60
1200.0,15
1296.0,30
1338.0,30
1568.0,15
1587.0,15
1600.0,15
1728.0,15
1875.0,15
1936.0,15
2028.0,195
2048.0,15
2187.0,75
2304.0,30
2352.0,15
2704.0,30
2880.0,15
3136.0,15
3200.0,15
3600.0,15
3872.0,15
4096.0,15
4608.0,75
5408.0,15
6272.0,255
7203.0,15
7744.0,15
7803.0,15
8112.0,30
8427.0,15
8748.0,15
9075.0,90
9216.0,45
9408.0,45
10816.0,45
11664.0,15
12544.0,30
12800.0,15
18432.0,45
20000.0,15
21632.0,15
23328.0,30
25088.0,510
25600.0,30
26656.0,15
28224.0,30
29792.0,15
31360.0,15
32448.0,60
32928.0,15
34496.0,15
35344.0,15
36064.0,15
36864.0,30
36963.0,60
37632.0,90
39200.0,15
40000.0,30
40768.0,15
41472.0,15
42336.0,15
43264.0,105
43904.0,15
44944.0,15
45472.0,15
46656.0,45
47040.0,15
48400.0,75
48608.0,15
50176.0,330
51200.0,15
56448.0,15
61952.0,15
62720.0,15
68992.0,15
73728.0,15
75264.0,15
80000.0,15
81536.0,15
82944.0,15
86528.0,60
87808.0,15
93312.0,60
94080.0,15
96800.0,30
100352.0,390
102400.0,15
106624.0,15
112896.0,15
119168.0,15
125440.0,30
131712.0,15
137984.0,15
144256.0,15
147456.0,15
147852.0,15
149187.0,60
150528.0,90
156800.0,15
160000.0,60
163072.0,15
169000.0,15
169344.0,15
173056.0,45
175616.0,30
179776.0,60
181888.0,15
186624.0,15
188160.0,15
190096.0,30
193600.0,30
194432.0,15
197136.0,45
200704.0,525
225792.0,15
250880.0,15
275968.0,15
282752.0,15
301056.0,30
326144.0,15
346112.0,30
351232.0,15
376320.0,15
401408.0,210
501760.0,15
565504.0,15
602112.0,15
640000.0,45
692224.0,45
702464.0,15
719104.0,15
732736.0,15
760384.0,15
774400.0,60
788544.0,30
802816.0,180
