	trunc_coeff	time_cost
0	10.0	2.0
1	10.0	3.0
2	10.0	2.0
3	10.0	3.0
4	10.0	3.0
5	10.0	3.0
6	10.0	3.0
7	10.0	2.0
8	10.0	3.0
9	10.0	3.0
10	10.0	3.0
11	10.0	2.0
12	10.0	3.0
13	10.0	2.0
14	10.0	2.0
15	10.0	2.0
16	10.0	2.0
17	10.0	2.0
18	10.0	2.0
19	10.0	4.0
20	10.0	2.0
21	10.0	2.0
22	10.0	3.0
23	10.0	2.0
24	10.0	3.0
25	10.0	2.0
26	10.0	3.0
27	10.0	2.0
28	10.0	3.0
29	10.0	2.0
30	200704.0	3154.0
31	802816.0	9169.0
32	802816.0	5878.0
33	802816.0	5843.0
34	401408.0	1869.0
35	100352.0	530.0
36	401408.0	4458.0
37	401408.0	4242.0
38	401408.0	4400.0
39	200704.0	1003.0
40	200704.0	1005.0
41	200704.0	3365.0
42	200704.0	1047.0
43	200704.0	1034.0
44	200704.0	3401.0
45	100352.0	514.0
46	100352.0	560.0
47	100352.0	553.0
48	200704.0	3261.0
49	802816.0	9014.0
50	802816.0	6097.0
51	802816.0	5823.0
52	401408.0	2049.0
53	100352.0	569.0
54	401408.0	4418.0
55	401408.0	4370.0
56	401408.0	4381.0
57	200704.0	1086.0
58	200704.0	1014.0
59	200704.0	3449.0
60	200704.0	1057.0
61	200704.0	959.0
62	200704.0	3496.0
63	100352.0	577.0
64	100352.0	582.0
65	100352.0	534.0
66	200704.0	3380.0
67	802816.0	8890.0
68	802816.0	5914.0
69	802816.0	5911.0
70	401408.0	1924.0
71	100352.0	500.0
72	401408.0	4484.0
73	401408.0	4136.0
74	401408.0	4815.0
75	200704.0	975.0
76	200704.0	963.0
77	200704.0	3280.0
78	200704.0	1046.0
79	200704.0	1012.0
80	200704.0	3485.0
81	100352.0	549.0
82	100352.0	711.0
83	100352.0	608.0
84	200704.0	3297.0
85	802816.0	8880.0
86	802816.0	6182.0
87	802816.0	5885.0
88	401408.0	1929.0
89	100352.0	568.0
90	401408.0	4409.0
91	401408.0	4113.0
92	401408.0	4599.0
93	200704.0	957.0
94	200704.0	948.0
95	200704.0	3442.0
96	200704.0	1011.0
97	200704.0	1028.0
98	200704.0	3452.0
99	100352.0	510.0
100	100352.0	489.0
101	100352.0	533.0
102	200704.0	3446.0
103	802816.0	8921.0
104	802816.0	6040.0
105	802816.0	5915.0
106	401408.0	1833.0
107	100352.0	518.0
108	401408.0	4551.0
109	401408.0	4432.0
110	401408.0	4638.0
111	200704.0	919.0
112	200704.0	1028.0
113	200704.0	3439.0
114	200704.0	959.0
115	200704.0	1049.0
116	200704.0	3416.0
117	100352.0	668.0
118	100352.0	561.0
119	100352.0	546.0
120	200704.0	3245.0
121	802816.0	8408.0
122	802816.0	5582.0
123	802816.0	5653.0
124	401408.0	1815.0
125	100352.0	488.0
126	401408.0	4288.0
127	401408.0	4072.0
128	401408.0	4495.0
129	200704.0	1123.0
130	200704.0	1024.0
131	200704.0	3372.0
132	200704.0	1028.0
133	200704.0	1006.0
134	200704.0	3561.0
135	100352.0	759.0
136	100352.0	581.0
137	100352.0	758.0
138	200704.0	3093.0
139	802816.0	8572.0
140	802816.0	6056.0
141	802816.0	5456.0
142	401408.0	1980.0
143	100352.0	556.0
144	401408.0	4210.0
145	401408.0	4227.0
146	401408.0	4504.0
147	200704.0	957.0
148	200704.0	954.0
149	200704.0	3325.0
150	200704.0	990.0
151	200704.0	985.0
152	200704.0	3396.0
153	100352.0	463.0
154	100352.0	528.0
155	100352.0	511.0
156	200704.0	2947.0
157	802816.0	8761.0
158	802816.0	5531.0
159	802816.0	5892.0
160	401408.0	2064.0
161	100352.0	599.0
162	401408.0	4307.0
163	401408.0	4248.0
164	401408.0	4608.0
165	200704.0	954.0
166	200704.0	995.0
167	200704.0	3421.0
168	200704.0	962.0
169	200704.0	961.0
170	200704.0	3440.0
171	100352.0	599.0
172	100352.0	534.0
173	100352.0	555.0
174	200704.0	3294.0
175	802816.0	8574.0
176	802816.0	5974.0
177	802816.0	5798.0
178	401408.0	1914.0
179	100352.0	531.0
180	401408.0	4444.0
181	401408.0	4305.0
182	401408.0	4363.0
183	200704.0	990.0
184	200704.0	916.0
185	200704.0	3273.0
186	200704.0	1015.0
187	200704.0	976.0
188	200704.0	3398.0
189	100352.0	527.0
190	100352.0	655.0
191	100352.0	786.0
192	200704.0	3352.0
193	802816.0	9060.0
194	802816.0	5977.0
195	802816.0	6027.0
196	401408.0	2222.0
197	100352.0	529.0
198	401408.0	4658.0
199	401408.0	4321.0
200	401408.0	4597.0
201	200704.0	980.0
202	200704.0	1062.0
203	200704.0	3362.0
204	200704.0	959.0
205	200704.0	1038.0
206	200704.0	3625.0
207	100352.0	520.0
208	100352.0	599.0
209	100352.0	520.0
210	200704.0	3434.0
211	802816.0	8346.0
212	802816.0	5975.0
213	802816.0	5981.0
214	401408.0	2069.0
215	100352.0	501.0
216	401408.0	4331.0
217	401408.0	4259.0
218	401408.0	4427.0
219	200704.0	1052.0
220	200704.0	1050.0
221	200704.0	3424.0
222	200704.0	1097.0
223	200704.0	954.0
224	200704.0	3645.0
225	100352.0	522.0
226	100352.0	538.0
227	100352.0	566.0
228	200704.0	3404.0
229	802816.0	9010.0
230	802816.0	6046.0
231	802816.0	5789.0
232	401408.0	1768.0
233	100352.0	552.0
234	401408.0	4306.0
235	401408.0	4527.0
236	401408.0	4475.0
237	200704.0	1063.0
238	200704.0	996.0
239	200704.0	3581.0
240	200704.0	1010.0
241	200704.0	1008.0
242	200704.0	3564.0
243	100352.0	581.0
244	100352.0	536.0
245	100352.0	512.0
246	200704.0	3349.0
247	802816.0	8969.0
248	802816.0	5887.0
249	802816.0	5808.0
250	401408.0	1982.0
251	100352.0	605.0
252	401408.0	4560.0
253	401408.0	4338.0
254	401408.0	4371.0
255	200704.0	995.0
256	200704.0	1030.0
257	200704.0	3507.0
258	200704.0	1005.0
259	200704.0	1116.0
260	200704.0	3480.0
261	100352.0	732.0
262	100352.0	575.0
263	100352.0	582.0
264	200704.0	3385.0
265	802816.0	8906.0
266	802816.0	6086.0
267	802816.0	6160.0
268	401408.0	2124.0
269	100352.0	525.0
270	401408.0	4533.0
271	401408.0	4275.0
272	401408.0	4559.0
273	200704.0	937.0
274	200704.0	932.0
275	200704.0	3534.0
276	200704.0	952.0
277	200704.0	900.0
278	200704.0	3396.0
279	100352.0	561.0
280	100352.0	633.0
281	100352.0	544.0
282	200704.0	3271.0
283	802816.0	9105.0
284	802816.0	5841.0
285	802816.0	6006.0
286	401408.0	2063.0
287	100352.0	520.0
288	401408.0	4559.0
289	401408.0	4365.0
290	401408.0	4361.0
291	200704.0	1099.0
292	200704.0	1144.0
293	200704.0	3591.0
294	200704.0	1048.0
295	200704.0	1207.0
296	200704.0	3523.0
297	100352.0	482.0
298	100352.0	716.0
299	100352.0	606.0
300	100352.0	3058.0
301	100352.0	651.0
302	100352.0	673.0
303	100352.0	633.0
304	100352.0	3196.0
305	100352.0	610.0
306	100352.0	381.0
307	25088.0	171.0
308	25088.0	168.0
309	25088.0	157.0
310	100352.0	444.0
311	25088.0	157.0
312	25088.0	201.0
313	25088.0	192.0
314	25088.0	153.0
315	25088.0	162.0
316	25088.0	196.0
317	25088.0	162.0
318	25088.0	161.0
319	25088.0	161.0
320	50176.0	208.0
321	6272.0	51.0
322	6272.0	61.0
323	6272.0	50.0
324	6272.0	53.0
325	6272.0	48.0
326	6272.0	51.0
327	6272.0	48.0
328	6272.0	55.0
329	6272.0	58.0
330	6272.0	51.0
331	6272.0	55.0
332	6272.0	50.0
333	6272.0	47.0
334	6272.0	56.0
335	6272.0	54.0
336	6272.0	55.0
337	6272.0	52.0
338	6272.0	60.0
339	6272.0	70.0
340	6272.0	57.0
341	6272.0	53.0
342	6272.0	48.0
343	6272.0	53.0
344	6272.0	51.0
345	25088.0	101.0
346	1568.0	21.0
347	1568.0	20.0
348	1568.0	63.0
349	1568.0	19.0
350	1568.0	24.0
351	1568.0	19.0
352	1568.0	29.0
353	1568.0	28.0
354	1568.0	22.0
355	1568.0	19.0
356	1568.0	30.0
357	1568.0	19.0
358	1568.0	18.0
359	1568.0	25.0
360	1568.0	23.0
361	1568.0	62.0
362	100352.0	3036.0
363	100352.0	683.0
364	100352.0	679.0
365	100352.0	599.0
366	100352.0	3054.0
367	100352.0	611.0
368	100352.0	364.0
369	25088.0	213.0
370	25088.0	216.0
371	25088.0	165.0
372	100352.0	442.0
373	25088.0	195.0
374	25088.0	187.0
375	25088.0	155.0
376	25088.0	193.0
377	25088.0	150.0
378	25088.0	165.0
379	25088.0	177.0
380	25088.0	178.0
381	25088.0	155.0
382	50176.0	241.0
383	6272.0	55.0
384	6272.0	52.0
385	6272.0	53.0
386	6272.0	55.0
387	6272.0	51.0
388	6272.0	65.0
389	6272.0	54.0
390	6272.0	59.0
391	6272.0	54.0
392	6272.0	55.0
393	6272.0	64.0
394	6272.0	52.0
395	6272.0	91.0
396	6272.0	51.0
397	6272.0	74.0
398	6272.0	50.0
399	6272.0	57.0
400	6272.0	65.0
401	6272.0	66.0
402	6272.0	49.0
403	6272.0	66.0
404	6272.0	59.0
405	6272.0	48.0
406	6272.0	50.0
407	25088.0	102.0
408	1568.0	35.0
409	1568.0	22.0
410	1568.0	29.0
411	1568.0	30.0
412	1568.0	24.0
413	1568.0	61.0
414	1568.0	34.0
415	1568.0	34.0
416	1568.0	17.0
417	1568.0	26.0
418	1568.0	33.0
419	1568.0	30.0
420	1568.0	28.0
421	1568.0	29.0
422	1568.0	27.0
423	1568.0	31.0
424	100352.0	2956.0
425	100352.0	632.0
426	100352.0	648.0
427	100352.0	638.0
428	100352.0	3156.0
429	100352.0	679.0
430	100352.0	393.0
431	25088.0	200.0
432	25088.0	147.0
433	25088.0	217.0
434	100352.0	430.0
435	25088.0	150.0
436	25088.0	158.0
437	25088.0	173.0
438	25088.0	188.0
439	25088.0	169.0
440	25088.0	163.0
441	25088.0	160.0
442	25088.0	158.0
443	25088.0	167.0
444	50176.0	190.0
445	6272.0	46.0
446	6272.0	52.0
447	6272.0	53.0
448	6272.0	51.0
449	6272.0	60.0
450	6272.0	58.0
451	6272.0	62.0
452	6272.0	73.0
453	6272.0	53.0
454	6272.0	62.0
455	6272.0	51.0
456	6272.0	49.0
457	6272.0	54.0
458	6272.0	49.0
459	6272.0	57.0
460	6272.0	59.0
461	6272.0	55.0
462	6272.0	59.0
463	6272.0	56.0
464	6272.0	58.0
465	6272.0	60.0
466	6272.0	49.0
467	6272.0	56.0
468	6272.0	47.0
469	25088.0	114.0
470	1568.0	21.0
471	1568.0	26.0
472	1568.0	21.0
473	1568.0	22.0
474	1568.0	29.0
475	1568.0	23.0
476	1568.0	37.0
477	1568.0	24.0
478	1568.0	32.0
479	1568.0	28.0
480	1568.0	33.0
481	1568.0	28.0
482	1568.0	20.0
483	1568.0	24.0
484	1568.0	33.0
485	1568.0	22.0
486	100352.0	2988.0
487	100352.0	643.0
488	100352.0	641.0
489	100352.0	663.0
490	100352.0	2964.0
491	100352.0	635.0
492	100352.0	446.0
493	25088.0	158.0
494	25088.0	145.0
495	25088.0	158.0
496	100352.0	460.0
497	25088.0	139.0
498	25088.0	170.0
499	25088.0	146.0
500	25088.0	192.0
501	25088.0	176.0
502	25088.0	152.0
503	25088.0	172.0
504	25088.0	168.0
505	25088.0	203.0
506	50176.0	223.0
507	6272.0	101.0
508	6272.0	53.0
509	6272.0	56.0
510	6272.0	64.0
511	6272.0	67.0
512	6272.0	67.0
513	6272.0	75.0
514	6272.0	49.0
515	6272.0	54.0
516	6272.0	63.0
517	6272.0	61.0
518	6272.0	56.0
519	6272.0	43.0
520	6272.0	54.0
521	6272.0	64.0
522	6272.0	53.0
523	6272.0	70.0
524	6272.0	49.0
525	6272.0	68.0
526	6272.0	73.0
527	6272.0	53.0
528	6272.0	53.0
529	6272.0	54.0
530	6272.0	57.0
531	25088.0	131.0
532	1568.0	21.0
533	1568.0	25.0
534	1568.0	26.0
535	1568.0	29.0
536	1568.0	30.0
537	1568.0	26.0
538	1568.0	27.0
539	1568.0	26.0
540	1568.0	54.0
541	1568.0	25.0
542	1568.0	21.0
543	1568.0	26.0
544	1568.0	24.0
545	1568.0	32.0
546	1568.0	37.0
547	1568.0	35.0
548	100352.0	2868.0
549	100352.0	631.0
550	100352.0	590.0
551	100352.0	616.0
552	100352.0	3036.0
553	100352.0	656.0
554	100352.0	372.0
555	25088.0	150.0
556	25088.0	160.0
557	25088.0	172.0
558	100352.0	411.0
559	25088.0	214.0
560	25088.0	169.0
561	25088.0	160.0
562	25088.0	162.0
563	25088.0	153.0
564	25088.0	168.0
565	25088.0	182.0
566	25088.0	168.0
567	25088.0	180.0
568	50176.0	193.0
569	6272.0	52.0
570	6272.0	52.0
571	6272.0	50.0
572	6272.0	44.0
573	6272.0	48.0
574	6272.0	55.0
575	6272.0	52.0
576	6272.0	51.0
577	6272.0	69.0
578	6272.0	62.0
579	6272.0	58.0
580	6272.0	60.0
581	6272.0	51.0
582	6272.0	53.0
583	6272.0	42.0
584	6272.0	51.0
585	6272.0	59.0
586	6272.0	101.0
587	6272.0	52.0
588	6272.0	52.0
589	6272.0	60.0
590	6272.0	53.0
591	6272.0	52.0
592	6272.0	59.0
593	25088.0	136.0
594	1568.0	18.0
595	1568.0	20.0
596	1568.0	27.0
597	1568.0	66.0
598	1568.0	28.0
599	1568.0	30.0
600	1568.0	19.0
601	1568.0	31.0
602	1568.0	30.0
603	1568.0	34.0
604	1568.0	32.0
605	1568.0	34.0
606	1568.0	21.0
607	1568.0	23.0
608	1568.0	19.0
609	1568.0	33.0
610	100352.0	3043.0
611	100352.0	637.0
612	100352.0	625.0
613	100352.0	566.0
614	100352.0	3126.0
615	100352.0	746.0
616	100352.0	413.0
617	25088.0	143.0
618	25088.0	161.0
619	25088.0	164.0
620	100352.0	459.0
621	25088.0	165.0
622	25088.0	150.0
623	25088.0	188.0
624	25088.0	168.0
625	25088.0	188.0
626	25088.0	191.0
627	25088.0	169.0
628	25088.0	155.0
629	25088.0	151.0
630	50176.0	210.0
631	6272.0	57.0
632	6272.0	53.0
633	6272.0	50.0
634	6272.0	53.0
635	6272.0	67.0
636	6272.0	63.0
637	6272.0	73.0
638	6272.0	55.0
639	6272.0	51.0
640	6272.0	42.0
641	6272.0	47.0
642	6272.0	52.0
643	6272.0	53.0
644	6272.0	61.0
645	6272.0	62.0
646	6272.0	58.0
647	6272.0	66.0
648	6272.0	53.0
649	6272.0	58.0
650	6272.0	58.0
651	6272.0	68.0
652	6272.0	61.0
653	6272.0	61.0
654	6272.0	61.0
655	25088.0	111.0
656	1568.0	25.0
657	1568.0	20.0
658	1568.0	25.0
659	1568.0	33.0
660	1568.0	26.0
661	1568.0	33.0
662	1568.0	23.0
663	1568.0	36.0
664	1568.0	24.0
665	1568.0	23.0
666	1568.0	26.0
667	1568.0	25.0
668	1568.0	28.0
669	1568.0	28.0
670	1568.0	31.0
671	1568.0	29.0
672	100352.0	2866.0
673	100352.0	622.0
674	100352.0	586.0
675	100352.0	618.0
676	100352.0	3074.0
677	100352.0	629.0
678	100352.0	394.0
679	25088.0	154.0
680	25088.0	163.0
681	25088.0	141.0
682	100352.0	427.0
683	25088.0	179.0
684	25088.0	130.0
685	25088.0	156.0
686	25088.0	147.0
687	25088.0	207.0
688	25088.0	172.0
689	25088.0	134.0
690	25088.0	167.0
691	25088.0	153.0
692	50176.0	196.0
693	6272.0	50.0
694	6272.0	45.0
695	6272.0	56.0
696	6272.0	56.0
697	6272.0	50.0
698	6272.0	56.0
699	6272.0	51.0
700	6272.0	59.0
701	6272.0	48.0
702	6272.0	55.0
703	6272.0	50.0
704	6272.0	55.0
705	6272.0	52.0
706	6272.0	57.0
707	6272.0	60.0
708	6272.0	73.0
709	6272.0	59.0
710	6272.0	61.0
711	6272.0	51.0
712	6272.0	53.0
713	6272.0	59.0
714	6272.0	71.0
715	6272.0	54.0
716	6272.0	56.0
717	25088.0	90.0
718	1568.0	20.0
719	1568.0	32.0
720	1568.0	20.0
721	1568.0	21.0
722	1568.0	20.0
723	1568.0	28.0
724	1568.0	21.0
725	1568.0	25.0
726	1568.0	31.0
727	1568.0	29.0
728	1568.0	70.0
729	1568.0	25.0
730	1568.0	21.0
731	1568.0	22.0
732	1568.0	20.0
733	1568.0	25.0
734	100352.0	3065.0
735	100352.0	696.0
736	100352.0	596.0
737	100352.0	637.0
738	100352.0	3078.0
739	100352.0	604.0
740	100352.0	377.0
741	25088.0	200.0
742	25088.0	202.0
743	25088.0	243.0
744	100352.0	425.0
745	25088.0	191.0
746	25088.0	170.0
747	25088.0	188.0
748	25088.0	191.0
749	25088.0	203.0
750	25088.0	212.0
751	25088.0	191.0
752	25088.0	176.0
753	25088.0	156.0
754	50176.0	202.0
755	6272.0	54.0
756	6272.0	58.0
757	6272.0	54.0
758	6272.0	67.0
759	6272.0	48.0
760	6272.0	73.0
761	6272.0	58.0
762	6272.0	63.0
763	6272.0	53.0
764	6272.0	56.0
765	6272.0	62.0
766	6272.0	57.0
767	6272.0	58.0
768	6272.0	59.0
769	6272.0	55.0
770	6272.0	63.0
771	6272.0	60.0
772	6272.0	66.0
773	6272.0	90.0
774	6272.0	57.0
775	6272.0	57.0
776	6272.0	53.0
777	6272.0	60.0
778	6272.0	56.0
779	25088.0	88.0
780	1568.0	20.0
781	1568.0	22.0
782	1568.0	21.0
783	1568.0	37.0
784	1568.0	19.0
785	1568.0	38.0
786	1568.0	28.0
787	1568.0	23.0
788	1568.0	25.0
789	1568.0	23.0
790	1568.0	20.0
791	1568.0	29.0
792	1568.0	24.0
793	1568.0	31.0
794	1568.0	27.0
795	1568.0	20.0
796	100352.0	2977.0
797	100352.0	608.0
798	100352.0	574.0
799	100352.0	652.0
800	100352.0	2895.0
801	100352.0	652.0
802	100352.0	392.0
803	25088.0	161.0
804	25088.0	159.0
805	25088.0	219.0
806	100352.0	484.0
807	25088.0	143.0
808	25088.0	149.0
809	25088.0	196.0
810	25088.0	195.0
811	25088.0	154.0
812	25088.0	186.0
813	25088.0	168.0
814	25088.0	200.0
815	25088.0	163.0
816	50176.0	210.0
817	6272.0	63.0
818	6272.0	51.0
819	6272.0	44.0
820	6272.0	54.0
821	6272.0	55.0
822	6272.0	56.0
823	6272.0	53.0
824	6272.0	79.0
825	6272.0	52.0
826	6272.0	56.0
827	6272.0	52.0
828	6272.0	58.0
829	6272.0	49.0
830	6272.0	56.0
831	6272.0	78.0
832	6272.0	61.0
833	6272.0	94.0
834	6272.0	53.0
835	6272.0	53.0
836	6272.0	53.0
837	6272.0	68.0
838	6272.0	66.0
839	6272.0	54.0
840	6272.0	59.0
841	25088.0	98.0
842	1568.0	21.0
843	1568.0	39.0
844	1568.0	28.0
845	1568.0	22.0
846	1568.0	21.0
847	1568.0	27.0
848	1568.0	26.0
849	1568.0	29.0
850	1568.0	35.0
851	1568.0	27.0
852	1568.0	32.0
853	1568.0	36.0
854	1568.0	29.0
855	1568.0	20.0
856	1568.0	21.0
857	1568.0	21.0
858	100352.0	2957.0
859	100352.0	628.0
860	100352.0	629.0
861	100352.0	708.0
862	100352.0	3132.0
863	100352.0	624.0
864	100352.0	394.0
865	25088.0	206.0
866	25088.0	153.0
867	25088.0	192.0
868	100352.0	467.0
869	25088.0	159.0
870	25088.0	153.0
871	25088.0	152.0
872	25088.0	153.0
873	25088.0	205.0
874	25088.0	185.0
875	25088.0	166.0
876	25088.0	159.0
877	25088.0	159.0
878	50176.0	188.0
879	6272.0	55.0
880	6272.0	51.0
881	6272.0	47.0
882	6272.0	57.0
883	6272.0	58.0
884	6272.0	63.0
885	6272.0	57.0
886	6272.0	53.0
887	6272.0	58.0
888	6272.0	52.0
889	6272.0	48.0
890	6272.0	62.0
891	6272.0	47.0
892	6272.0	67.0
893	6272.0	53.0
894	6272.0	63.0
895	6272.0	49.0
896	6272.0	51.0
897	6272.0	55.0
898	6272.0	49.0
899	6272.0	53.0
900	6272.0	52.0
901	6272.0	52.0
902	6272.0	59.0
903	25088.0	100.0
904	1568.0	47.0
905	1568.0	24.0
906	1568.0	21.0
907	1568.0	26.0
908	1568.0	23.0
