	avgpool_N	avgpool_H	avgpool_W	avgpool_C	avgpool_ksizeH	avgpool_ksizeW	avgpool_zPadHLeft	avgpool_zPadHRight	avgpool_zPadWLeft	avgpool_zPadWRight	avgpool_strideH	avgpool_strideW	avgpool_N1	avgpool_imgH	avgpool_imgW	avgpool_C1	time_cost
0	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	41.0
1	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	65.0
2	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	45.0
3	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	42.0
4	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	42.0
5	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	49.0
6	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	47.0
7	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	57.0
8	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	55.0
9	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	45.0
10	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	36.0
11	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	45.0
12	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	55.0
13	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	49.0
