# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.002        0.000       10.027       17.066
       0.008      186.500       10.301       18.066
       0.013      190.100       10.840       18.168
       0.019        0.000       11.375       18.273
       0.023        0.000       11.617       18.273
       0.028      235.000       11.617       18.273
       0.032        0.000       11.617       18.273
       0.040        0.000       11.617       18.273
       0.043        0.000       11.617       18.273
       0.047        0.000       12.129       18.801
       0.051        0.000       12.129       18.801
       0.055        0.000       12.129       18.801
       0.058        0.000       12.129       18.801
       0.060        0.000       12.129       18.801
       0.063        0.000       12.129       18.801
       0.066        0.000       12.129       18.801
       0.068        0.000       12.129       18.801
       0.071        0.000       12.129       18.801
       0.073        0.000       12.129       18.801
       0.076        0.000       12.129       18.801
       0.078        0.000       12.129       18.801
       0.081        0.000       12.129       18.801
       0.083        0.000       12.129       18.801
       0.086        0.000       12.445       18.801
       0.088        0.000       12.445       18.801
       0.091        0.000       12.445       18.953
       0.093      404.900       12.707       19.859
       0.096      391.600       12.707       19.859
       0.098        0.000       12.707       20.016
       0.101        0.000       12.961       20.016
       0.103      369.000       12.961       20.016
       0.106        0.000       12.961       20.016
       0.108        0.000       12.961       20.016
       0.111        0.000       13.219       20.016
       0.113        0.000       13.219       20.016
       0.116      409.300       13.625       20.164
       0.118        0.000       13.895       20.180
       0.121        0.000       13.898       20.180
       0.123        0.000       13.898       20.180
       0.126        0.000       13.898       20.180
       0.128      391.000       13.898       20.180
       0.131        0.000       13.898       20.180
       0.133        0.000       13.898       20.180
       0.135        0.000       13.898       20.180
       0.138        0.000       13.898       20.180
       0.140        0.000       13.898       20.180
       0.143        0.000       13.898       20.180
       0.145        0.000       13.898       20.180
       0.148        0.000       13.898       20.180
       0.150        0.000       13.898       20.180
       0.152        0.000       13.898       20.180
       0.155        0.000       13.898       20.180
       0.157        0.000       13.898       20.180
       0.160        0.000       13.898       20.180
       0.162        0.000       13.898       20.180
       0.165        0.000       13.898       20.180
       0.167        0.000       14.152       20.379
       0.170        0.000       14.152       20.379
       0.172        0.000       14.152       20.379
       0.174        0.000       14.152       20.379
       0.177        0.000       14.152       20.379
       0.179      411.000       14.152       20.523
       0.182        0.000       14.152       20.523
       0.184        0.000       14.152       20.523
       0.187        0.000       14.324       20.398
       0.189        0.000       14.324       20.398
       0.192      384.200       14.324       20.398
       0.194        0.000       14.324       20.398
       0.197        0.000       14.324       20.398
       0.199      394.200       14.324       20.398
       0.202        0.000       14.324       20.398
       0.204        0.000       14.578       21.566
       0.206        0.000       14.750       21.641
       0.209        0.000       14.871       21.762
       0.211        0.000       15.090       21.965
       0.214        0.000       15.090       21.965
       0.216      408.900       15.090       21.965
       0.219        0.000       15.090       21.965
       0.221        0.000       15.090       21.965
       0.224        0.000       15.090       21.965
       0.226      416.100       15.090       21.965
       0.228      397.300       15.090       21.965
       0.231        0.000       15.090       21.965
       0.233        0.000       15.090       21.965
       0.236        0.000       15.090       21.965
       0.239        0.000       15.090       21.965
       0.241        0.000       15.090       21.965
       0.243        0.000       15.090       21.965
       0.246        0.000       15.090       21.965
       0.248        0.000       15.090       21.965
       0.251        0.000       15.410       22.316
       0.253        0.000       15.410       22.316
       0.256        0.000       15.410       22.316
       0.258        0.000       15.410       22.316
       0.261        0.000       15.410       22.316
