	BN2_C	BN2_H	BN2_W	time_cost
0	512.0	28.0	28.0	1781.0
1	128.0	28.0	28.0	521.0
2	512.0	28.0	28.0	1825.0
3	512.0	28.0	28.0	1874.0
4	512.0	28.0	28.0	1839.0
5	1024.0	14.0	14.0	943.0
6	1024.0	14.0	14.0	852.0
7	1024.0	14.0	14.0	917.0
8	1024.0	14.0	14.0	943.0
9	1024.0	14.0	14.0	924.0
10	1024.0	14.0	14.0	886.0
11	2048.0	7.0	7.0	513.0
12	2048.0	7.0	7.0	480.0
13	7.0	7.0	2048.0	436.0
14	512.0	28.0	28.0	1894.0
15	128.0	28.0	28.0	477.0
16	512.0	28.0	28.0	1869.0
17	512.0	28.0	28.0	1817.0
18	512.0	28.0	28.0	1793.0
19	1024.0	14.0	14.0	960.0
20	1024.0	14.0	14.0	817.0
21	1024.0	14.0	14.0	920.0
22	1024.0	14.0	14.0	921.0
23	1024.0	14.0	14.0	840.0
24	1024.0	14.0	14.0	871.0
25	2048.0	7.0	7.0	514.0
26	2048.0	7.0	7.0	480.0
27	7.0	7.0	2048.0	515.0
28	512.0	28.0	28.0	1803.0
29	128.0	28.0	28.0	461.0
30	512.0	28.0	28.0	1880.0
31	512.0	28.0	28.0	1798.0
32	512.0	28.0	28.0	1739.0
33	1024.0	14.0	14.0	945.0
34	1024.0	14.0	14.0	861.0
35	1024.0	14.0	14.0	925.0
36	1024.0	14.0	14.0	810.0
37	1024.0	14.0	14.0	927.0
38	1024.0	14.0	14.0	950.0
39	2048.0	7.0	7.0	487.0
40	2048.0	7.0	7.0	462.0
41	7.0	7.0	2048.0	498.0
42	512.0	28.0	28.0	1890.0
43	128.0	28.0	28.0	533.0
44	512.0	28.0	28.0	2008.0
45	512.0	28.0	28.0	1857.0
46	512.0	28.0	28.0	1699.0
47	1024.0	14.0	14.0	811.0
48	1024.0	14.0	14.0	805.0
49	1024.0	14.0	14.0	910.0
50	1024.0	14.0	14.0	897.0
51	1024.0	14.0	14.0	853.0
52	1024.0	14.0	14.0	897.0
53	2048.0	7.0	7.0	544.0
54	2048.0	7.0	7.0	476.0
55	7.0	7.0	2048.0	463.0
56	512.0	28.0	28.0	1782.0
57	128.0	28.0	28.0	470.0
58	512.0	28.0	28.0	1727.0
59	512.0	28.0	28.0	1887.0
60	512.0	28.0	28.0	1823.0
61	1024.0	14.0	14.0	869.0
62	1024.0	14.0	14.0	838.0
63	1024.0	14.0	14.0	950.0
64	1024.0	14.0	14.0	996.0
65	1024.0	14.0	14.0	890.0
66	1024.0	14.0	14.0	900.0
67	2048.0	7.0	7.0	531.0
68	2048.0	7.0	7.0	432.0
69	7.0	7.0	2048.0	472.0
70	512.0	28.0	28.0	1717.0
71	128.0	28.0	28.0	523.0
72	512.0	28.0	28.0	1859.0
73	512.0	28.0	28.0	1849.0
74	512.0	28.0	28.0	1796.0
75	1024.0	14.0	14.0	868.0
76	1024.0	14.0	14.0	896.0
77	1024.0	14.0	14.0	888.0
78	1024.0	14.0	14.0	901.0
79	1024.0	14.0	14.0	815.0
80	1024.0	14.0	14.0	938.0
81	2048.0	7.0	7.0	492.0
82	2048.0	7.0	7.0	433.0
83	7.0	7.0	2048.0	483.0
84	512.0	28.0	28.0	1965.0
85	128.0	28.0	28.0	524.0
86	512.0	28.0	28.0	1951.0
87	512.0	28.0	28.0	1901.0
88	512.0	28.0	28.0	1810.0
89	1024.0	14.0	14.0	919.0
90	1024.0	14.0	14.0	813.0
91	1024.0	14.0	14.0	937.0
92	1024.0	14.0	14.0	898.0
93	1024.0	14.0	14.0	877.0
94	1024.0	14.0	14.0	976.0
95	2048.0	7.0	7.0	503.0
96	2048.0	7.0	7.0	424.0
97	7.0	7.0	2048.0	481.0
98	512.0	28.0	28.0	1787.0
99	128.0	28.0	28.0	462.0
100	512.0	28.0	28.0	1782.0
101	512.0	28.0	28.0	1799.0
102	512.0	28.0	28.0	1677.0
103	1024.0	14.0	14.0	837.0
104	1024.0	14.0	14.0	817.0
105	1024.0	14.0	14.0	917.0
106	1024.0	14.0	14.0	893.0
107	1024.0	14.0	14.0	862.0
108	1024.0	14.0	14.0	889.0
109	2048.0	7.0	7.0	502.0
110	2048.0	7.0	7.0	479.0
111	7.0	7.0	2048.0	497.0
112	512.0	28.0	28.0	1841.0
113	128.0	28.0	28.0	525.0
114	512.0	28.0	28.0	1813.0
115	512.0	28.0	28.0	1795.0
116	512.0	28.0	28.0	1835.0
117	1024.0	14.0	14.0	878.0
118	1024.0	14.0	14.0	873.0
119	1024.0	14.0	14.0	930.0
120	1024.0	14.0	14.0	935.0
121	1024.0	14.0	14.0	794.0
122	1024.0	14.0	14.0	930.0
123	2048.0	7.0	7.0	481.0
124	2048.0	7.0	7.0	454.0
125	7.0	7.0	2048.0	512.0
126	512.0	28.0	28.0	1834.0
127	128.0	28.0	28.0	519.0
128	512.0	28.0	28.0	1953.0
129	512.0	28.0	28.0	1855.0
130	512.0	28.0	28.0	1779.0
131	1024.0	14.0	14.0	871.0
132	1024.0	14.0	14.0	819.0
133	1024.0	14.0	14.0	841.0
134	1024.0	14.0	14.0	946.0
135	1024.0	14.0	14.0	872.0
136	1024.0	14.0	14.0	969.0
137	2048.0	7.0	7.0	516.0
138	2048.0	7.0	7.0	420.0
139	7.0	7.0	2048.0	451.0
140	512.0	28.0	28.0	1895.0
141	128.0	28.0	28.0	503.0
142	512.0	28.0	28.0	1953.0
143	512.0	28.0	28.0	1835.0
144	512.0	28.0	28.0	1776.0
145	1024.0	14.0	14.0	940.0
146	1024.0	14.0	14.0	810.0
147	1024.0	14.0	14.0	872.0
148	1024.0	14.0	14.0	855.0
149	1024.0	14.0	14.0	802.0
150	1024.0	14.0	14.0	765.0
151	2048.0	7.0	7.0	472.0
152	2048.0	7.0	7.0	488.0
153	7.0	7.0	2048.0	470.0
154	512.0	28.0	28.0	1791.0
155	128.0	28.0	28.0	532.0
156	512.0	28.0	28.0	1804.0
157	512.0	28.0	28.0	1756.0
158	512.0	28.0	28.0	1745.0
159	1024.0	14.0	14.0	911.0
160	1024.0	14.0	14.0	882.0
161	1024.0	14.0	14.0	931.0
162	1024.0	14.0	14.0	1001.0
163	1024.0	14.0	14.0	931.0
164	1024.0	14.0	14.0	910.0
165	2048.0	7.0	7.0	522.0
166	2048.0	7.0	7.0	489.0
167	7.0	7.0	2048.0	434.0
168	512.0	28.0	28.0	1919.0
169	128.0	28.0	28.0	545.0
170	512.0	28.0	28.0	1864.0
171	512.0	28.0	28.0	1843.0
172	512.0	28.0	28.0	1678.0
173	1024.0	14.0	14.0	1018.0
174	1024.0	14.0	14.0	781.0
175	1024.0	14.0	14.0	842.0
176	1024.0	14.0	14.0	971.0
177	1024.0	14.0	14.0	904.0
178	1024.0	14.0	14.0	866.0
179	2048.0	7.0	7.0	461.0
180	2048.0	7.0	7.0	492.0
181	7.0	7.0	2048.0	509.0
182	512.0	28.0	28.0	1867.0
183	128.0	28.0	28.0	498.0
184	512.0	28.0	28.0	1908.0
185	512.0	28.0	28.0	1754.0
186	512.0	28.0	28.0	1810.0
187	1024.0	14.0	14.0	946.0
188	1024.0	14.0	14.0	824.0
189	1024.0	14.0	14.0	976.0
190	1024.0	14.0	14.0	987.0
191	1024.0	14.0	14.0	829.0
192	1024.0	14.0	14.0	914.0
193	2048.0	7.0	7.0	414.0
194	2048.0	7.0	7.0	492.0
195	7.0	7.0	2048.0	510.0
196	512.0	28.0	28.0	1847.0
197	128.0	28.0	28.0	472.0
198	512.0	28.0	28.0	1852.0
199	512.0	28.0	28.0	1815.0
200	512.0	28.0	28.0	1751.0
201	1024.0	14.0	14.0	913.0
202	1024.0	14.0	14.0	915.0
203	1024.0	14.0	14.0	895.0
204	1024.0	14.0	14.0	931.0
205	1024.0	14.0	14.0	814.0
206	1024.0	14.0	14.0	875.0
207	2048.0	7.0	7.0	473.0
208	2048.0	7.0	7.0	448.0
209	7.0	7.0	2048.0	472.0
210	64.0	56.0	56.0	975.0
211	96.0	56.0	56.0	1252.0
212	128.0	56.0	56.0	1660.0
213	160.0	56.0	56.0	2096.0
214	192.0	56.0	56.0	2434.0
215	224.0	56.0	56.0	2981.0
216	256.0	56.0	56.0	3322.0
217	128.0	28.0	28.0	531.0
218	160.0	28.0	28.0	602.0
219	192.0	28.0	28.0	628.0
220	224.0	28.0	28.0	814.0
221	128.0	28.0	28.0	496.0
222	256.0	28.0	28.0	886.0
223	288.0	28.0	28.0	1051.0
224	320.0	28.0	28.0	926.0
225	352.0	28.0	28.0	1056.0
226	384.0	28.0	28.0	1190.0
227	416.0	28.0	28.0	1284.0
228	448.0	28.0	28.0	1515.0
229	480.0	28.0	28.0	1326.0
230	512.0	28.0	28.0	1632.0
231	256.0	14.0	14.0	272.0
232	288.0	14.0	14.0	290.0
233	320.0	14.0	14.0	338.0
234	352.0	14.0	14.0	333.0
235	384.0	14.0	14.0	382.0
236	416.0	14.0	14.0	418.0
237	448.0	14.0	14.0	436.0
238	480.0	14.0	14.0	483.0
239	512.0	14.0	14.0	480.0
240	544.0	14.0	14.0	483.0
241	576.0	14.0	14.0	535.0
242	608.0	14.0	14.0	580.0
243	640.0	14.0	14.0	614.0
244	672.0	14.0	14.0	619.0
245	704.0	14.0	14.0	565.0
246	736.0	14.0	14.0	640.0
247	768.0	14.0	14.0	624.0
248	800.0	14.0	14.0	648.0
249	832.0	14.0	14.0	722.0
250	864.0	14.0	14.0	804.0
251	896.0	14.0	14.0	715.0
252	928.0	14.0	14.0	798.0
253	960.0	14.0	14.0	784.0
254	992.0	14.0	14.0	807.0
255	1024.0	14.0	14.0	790.0
256	512.0	7.0	7.0	171.0
257	544.0	7.0	7.0	114.0
258	576.0	7.0	7.0	146.0
259	608.0	7.0	7.0	188.0
260	640.0	7.0	7.0	177.0
261	672.0	7.0	7.0	169.0
