	conv_N	conv_H	conv_W	conv_CI	conv_FH	conv_FW	conv_CO	conv_zPadHLeft	conv_zPadHRight	conv_zPadWLeft	conv_zPadWRight	conv_strideH	conv_strideW	time_cost
0	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	68.0
1	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	132.0
2	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	65.0
3	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	80.0
4	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	70.0
5	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	62.0
6	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	66.0
7	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	81.0
8	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	67.0
9	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	84.0
10	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	67.0
11	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	76.0
12	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	64.0
13	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	82.0
14	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	66.0
15	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	80.0
16	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	69.0
17	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	83.0
18	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	70.0
19	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	86.0
20	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	66.0
21	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	85.0
22	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	69.0
23	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	86.0
24	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	71.0
25	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	85.0
26	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	67.0
27	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	83.0
28	1.0	28.0	28.0	1.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	65.0
29	1.0	12.0	12.0	20.0	5.0	5.0	20.0	0.0	0.0	0.0	0.0	1.0	1.0	76.0
30	1.0	28.0	28.0	1.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	81.0
31	1.0	12.0	12.0	25.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	107.0
32	1.0	4.0	4.0	25.0	2.0	2.0	50.0	0.0	0.0	0.0	0.0	1.0	1.0	156.0
33	1.0	28.0	28.0	1.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	84.0
34	1.0	12.0	12.0	25.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	118.0
35	1.0	4.0	4.0	25.0	2.0	2.0	50.0	0.0	0.0	0.0	0.0	1.0	1.0	146.0
36	1.0	28.0	28.0	1.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	81.0
37	1.0	12.0	12.0	25.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	101.0
38	1.0	4.0	4.0	25.0	2.0	2.0	50.0	0.0	0.0	0.0	0.0	1.0	1.0	165.0
39	1.0	28.0	28.0	1.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	81.0
40	1.0	12.0	12.0	25.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	94.0
41	1.0	4.0	4.0	25.0	2.0	2.0	50.0	0.0	0.0	0.0	0.0	1.0	1.0	175.0
42	1.0	28.0	28.0	1.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	74.0
43	1.0	12.0	12.0	25.0	5.0	5.0	25.0	0.0	0.0	0.0	0.0	1.0	1.0	77.0
44	1.0	4.0	4.0	25.0	2.0	2.0	50.0	0.0	0.0	0.0	0.0	1.0	1.0	136.0
