	BN1_C	BN1_H	BN1_W	time_cost
0	64.0	56.0	56.0	740.0
1	256.0	56.0	56.0	2728.0
2	256.0	56.0	56.0	2712.0
3	256.0	56.0	56.0	2516.0
4	64.0	56.0	56.0	718.0
5	256.0	56.0	56.0	2645.0
6	256.0	56.0	56.0	2731.0
7	256.0	56.0	56.0	2677.0
8	64.0	56.0	56.0	733.0
9	256.0	56.0	56.0	2492.0
10	256.0	56.0	56.0	2675.0
11	256.0	56.0	56.0	2687.0
12	64.0	56.0	56.0	738.0
13	256.0	56.0	56.0	2569.0
14	256.0	56.0	56.0	2613.0
15	256.0	56.0	56.0	2551.0
16	64.0	56.0	56.0	721.0
17	256.0	56.0	56.0	2706.0
18	256.0	56.0	56.0	2620.0
19	256.0	56.0	56.0	2572.0
20	64.0	56.0	56.0	710.0
21	256.0	56.0	56.0	2592.0
22	256.0	56.0	56.0	2661.0
23	256.0	56.0	56.0	2561.0
24	64.0	56.0	56.0	660.0
25	256.0	56.0	56.0	2614.0
26	256.0	56.0	56.0	2650.0
27	256.0	56.0	56.0	2624.0
28	64.0	56.0	56.0	714.0
29	256.0	56.0	56.0	2616.0
30	256.0	56.0	56.0	2694.0
31	256.0	56.0	56.0	2609.0
32	64.0	56.0	56.0	686.0
33	256.0	56.0	56.0	2647.0
34	256.0	56.0	56.0	2737.0
35	256.0	56.0	56.0	2631.0
36	64.0	56.0	56.0	764.0
37	256.0	56.0	56.0	2528.0
38	256.0	56.0	56.0	2585.0
39	256.0	56.0	56.0	2708.0
