	BN1_C	BN1_H	BN1_W	time_cost
0	64.0	56.0	56.0	434.0
1	256.0	56.0	56.0	1846.0
2	256.0	56.0	56.0	1775.0
3	256.0	56.0	56.0	1744.0
4	64.0	56.0	56.0	425.0
5	256.0	56.0	56.0	1698.0
6	256.0	56.0	56.0	1741.0
7	256.0	56.0	56.0	1754.0
8	64.0	56.0	56.0	429.0
9	256.0	56.0	56.0	1692.0
10	256.0	56.0	56.0	1772.0
11	256.0	56.0	56.0	1771.0
12	64.0	56.0	56.0	427.0
13	256.0	56.0	56.0	1691.0
14	256.0	56.0	56.0	1672.0
15	256.0	56.0	56.0	1687.0
16	64.0	56.0	56.0	438.0
17	256.0	56.0	56.0	1741.0
18	256.0	56.0	56.0	1745.0
19	256.0	56.0	56.0	1696.0
20	64.0	56.0	56.0	445.0
21	256.0	56.0	56.0	1754.0
22	256.0	56.0	56.0	1775.0
23	256.0	56.0	56.0	1686.0
24	64.0	56.0	56.0	396.0
25	256.0	56.0	56.0	1690.0
26	256.0	56.0	56.0	1696.0
27	256.0	56.0	56.0	1690.0
28	64.0	56.0	56.0	408.0
29	256.0	56.0	56.0	1745.0
30	256.0	56.0	56.0	1795.0
31	256.0	56.0	56.0	1760.0
32	64.0	56.0	56.0	415.0
33	256.0	56.0	56.0	1689.0
34	256.0	56.0	56.0	1747.0
35	256.0	56.0	56.0	1709.0
36	64.0	56.0	56.0	436.0
37	256.0	56.0	56.0	1632.0
38	256.0	56.0	56.0	1690.0
39	256.0	56.0	56.0	1747.0
