	BN2_C	BN2_H	BN2_W	time_cost
0	512.0	28.0	28.0	2323.0
1	128.0	28.0	28.0	601.0
2	512.0	28.0	28.0	2355.0
3	512.0	28.0	28.0	2326.0
4	512.0	28.0	28.0	2352.0
5	1024.0	14.0	14.0	1128.0
6	1024.0	14.0	14.0	1120.0
7	1024.0	14.0	14.0	1203.0
8	1024.0	14.0	14.0	1116.0
9	1024.0	14.0	14.0	1200.0
10	1024.0	14.0	14.0	1234.0
11	2048.0	7.0	7.0	638.0
12	2048.0	7.0	7.0	562.0
13	7.0	7.0	2048.0	639.0
14	512.0	28.0	28.0	2276.0
15	128.0	28.0	28.0	591.0
16	512.0	28.0	28.0	2295.0
17	512.0	28.0	28.0	2387.0
18	512.0	28.0	28.0	2311.0
19	1024.0	14.0	14.0	1158.0
20	1024.0	14.0	14.0	1164.0
21	1024.0	14.0	14.0	1201.0
22	1024.0	14.0	14.0	1164.0
23	1024.0	14.0	14.0	1182.0
24	1024.0	14.0	14.0	1130.0
25	2048.0	7.0	7.0	549.0
26	2048.0	7.0	7.0	582.0
27	7.0	7.0	2048.0	560.0
28	512.0	28.0	28.0	2262.0
29	128.0	28.0	28.0	523.0
30	512.0	28.0	28.0	2438.0
31	512.0	28.0	28.0	2314.0
32	512.0	28.0	28.0	2363.0
33	1024.0	14.0	14.0	1178.0
34	1024.0	14.0	14.0	1160.0
35	1024.0	14.0	14.0	1175.0
36	1024.0	14.0	14.0	1192.0
37	1024.0	14.0	14.0	1158.0
38	1024.0	14.0	14.0	1172.0
39	2048.0	7.0	7.0	541.0
40	2048.0	7.0	7.0	562.0
41	7.0	7.0	2048.0	589.0
42	512.0	28.0	28.0	2309.0
43	128.0	28.0	28.0	608.0
44	512.0	28.0	28.0	2386.0
45	512.0	28.0	28.0	2352.0
46	512.0	28.0	28.0	2318.0
47	1024.0	14.0	14.0	1179.0
48	1024.0	14.0	14.0	1149.0
49	1024.0	14.0	14.0	1163.0
50	1024.0	14.0	14.0	1202.0
51	1024.0	14.0	14.0	1146.0
52	1024.0	14.0	14.0	1181.0
53	2048.0	7.0	7.0	583.0
54	2048.0	7.0	7.0	561.0
55	7.0	7.0	2048.0	590.0
56	512.0	28.0	28.0	2353.0
57	128.0	28.0	28.0	615.0
58	512.0	28.0	28.0	2340.0
59	512.0	28.0	28.0	2353.0
60	512.0	28.0	28.0	2273.0
61	1024.0	14.0	14.0	1147.0
62	1024.0	14.0	14.0	1121.0
63	1024.0	14.0	14.0	1176.0
64	1024.0	14.0	14.0	1227.0
65	1024.0	14.0	14.0	1179.0
66	1024.0	14.0	14.0	1193.0
67	2048.0	7.0	7.0	627.0
68	2048.0	7.0	7.0	598.0
69	7.0	7.0	2048.0	615.0
70	512.0	28.0	28.0	2347.0
71	128.0	28.0	28.0	616.0
72	512.0	28.0	28.0	2387.0
73	512.0	28.0	28.0	2377.0
74	512.0	28.0	28.0	2270.0
75	1024.0	14.0	14.0	1190.0
76	1024.0	14.0	14.0	1117.0
77	1024.0	14.0	14.0	1110.0
78	1024.0	14.0	14.0	1185.0
79	1024.0	14.0	14.0	1103.0
80	1024.0	14.0	14.0	1153.0
81	2048.0	7.0	7.0	624.0
82	2048.0	7.0	7.0	584.0
83	7.0	7.0	2048.0	506.0
84	512.0	28.0	28.0	2347.0
85	128.0	28.0	28.0	602.0
86	512.0	28.0	28.0	2349.0
87	512.0	28.0	28.0	2391.0
88	512.0	28.0	28.0	2331.0
89	1024.0	14.0	14.0	1121.0
90	1024.0	14.0	14.0	1143.0
91	1024.0	14.0	14.0	1135.0
92	1024.0	14.0	14.0	1225.0
93	1024.0	14.0	14.0	1189.0
94	1024.0	14.0	14.0	1148.0
95	2048.0	7.0	7.0	539.0
96	2048.0	7.0	7.0	560.0
97	7.0	7.0	2048.0	628.0
98	512.0	28.0	28.0	2348.0
99	128.0	28.0	28.0	538.0
100	512.0	28.0	28.0	2341.0
101	512.0	28.0	28.0	2316.0
102	512.0	28.0	28.0	2284.0
