	BN2_C	BN2_H	BN2_W	time_cost
0	512.0	28.0	28.0	1890.0
1	128.0	28.0	28.0	455.0
2	512.0	28.0	28.0	1916.0
3	512.0	28.0	28.0	1919.0
4	512.0	28.0	28.0	1891.0
5	1024.0	14.0	14.0	928.0
6	1024.0	14.0	14.0	914.0
7	1024.0	14.0	14.0	919.0
8	1024.0	14.0	14.0	919.0
9	1024.0	14.0	14.0	940.0
10	1024.0	14.0	14.0	943.0
11	2048.0	7.0	7.0	464.0
12	2048.0	7.0	7.0	448.0
13	7.0	7.0	2048.0	485.0
14	512.0	28.0	28.0	1911.0
15	128.0	28.0	28.0	453.0
16	512.0	28.0	28.0	1908.0
17	512.0	28.0	28.0	1905.0
18	512.0	28.0	28.0	1900.0
19	1024.0	14.0	14.0	893.0
20	1024.0	14.0	14.0	917.0
21	1024.0	14.0	14.0	919.0
22	1024.0	14.0	14.0	925.0
23	1024.0	14.0	14.0	948.0
24	1024.0	14.0	14.0	914.0
25	2048.0	7.0	7.0	455.0
26	2048.0	7.0	7.0	454.0
27	7.0	7.0	2048.0	455.0
28	512.0	28.0	28.0	1909.0
29	128.0	28.0	28.0	443.0
30	512.0	28.0	28.0	1903.0
31	512.0	28.0	28.0	1883.0
32	512.0	28.0	28.0	1944.0
33	1024.0	14.0	14.0	914.0
34	1024.0	14.0	14.0	939.0
35	1024.0	14.0	14.0	930.0
36	1024.0	14.0	14.0	929.0
37	1024.0	14.0	14.0	916.0
38	1024.0	14.0	14.0	916.0
39	2048.0	7.0	7.0	451.0
40	2048.0	7.0	7.0	451.0
41	7.0	7.0	2048.0	448.0
42	512.0	28.0	28.0	1932.0
43	128.0	28.0	28.0	463.0
44	512.0	28.0	28.0	1923.0
45	512.0	28.0	28.0	1913.0
46	512.0	28.0	28.0	1881.0
47	1024.0	14.0	14.0	917.0
48	1024.0	14.0	14.0	932.0
49	1024.0	14.0	14.0	913.0
50	1024.0	14.0	14.0	921.0
51	1024.0	14.0	14.0	910.0
52	1024.0	14.0	14.0	917.0
53	2048.0	7.0	7.0	452.0
54	2048.0	7.0	7.0	450.0
55	7.0	7.0	2048.0	450.0
56	512.0	28.0	28.0	1904.0
57	128.0	28.0	28.0	447.0
58	512.0	28.0	28.0	1871.0
59	512.0	28.0	28.0	1912.0
60	512.0	28.0	28.0	1929.0
61	1024.0	14.0	14.0	923.0
62	1024.0	14.0	14.0	919.0
63	1024.0	14.0	14.0	918.0
64	1024.0	14.0	14.0	921.0
65	1024.0	14.0	14.0	920.0
66	1024.0	14.0	14.0	929.0
67	2048.0	7.0	7.0	460.0
68	2048.0	7.0	7.0	457.0
69	7.0	7.0	2048.0	448.0
70	512.0	28.0	28.0	1897.0
71	128.0	28.0	28.0	456.0
72	512.0	28.0	28.0	1902.0
73	512.0	28.0	28.0	1920.0
