	FC_N	FC_CI	FC_CO	time_cost
0	1.0	320.0	1024.0	152.0
1	1.0	1024.0	10.0	35.0
2	1.0	320.0	1024.0	129.0
3	1.0	1024.0	10.0	28.0
4	1.0	320.0	1024.0	149.0
5	1.0	1024.0	10.0	35.0
6	1.0	320.0	1024.0	146.0
7	1.0	1024.0	10.0	33.0
8	1.0	320.0	1024.0	146.0
9	1.0	1024.0	10.0	36.0
10	1.0	320.0	1024.0	154.0
11	1.0	1024.0	10.0	35.0
12	1.0	320.0	1024.0	145.0
13	1.0	1024.0	10.0	36.0
14	1.0	320.0	1024.0	144.0
15	1.0	1024.0	10.0	34.0
16	1.0	320.0	1024.0	147.0
17	1.0	1024.0	10.0	36.0
18	1.0	320.0	1024.0	141.0
19	1.0	1024.0	10.0	38.0
20	1.0	50.0	1338.0	70.0
21	1.0	1338.0	10.0	30.0
22	1.0	50.0	1338.0	58.0
23	1.0	1338.0	10.0	36.0
24	1.0	50.0	1338.0	69.0
25	1.0	1338.0	10.0	37.0
26	1.0	50.0	1338.0	67.0
27	1.0	1338.0	10.0	32.0
28	1.0	50.0	1338.0	69.0
29	1.0	1338.0	10.0	45.0
30	1.0	50.0	1338.0	69.0
31	1.0	1338.0	10.0	36.0
32	1.0	50.0	1338.0	77.0
33	1.0	1338.0	10.0	38.0
34	1.0	50.0	1338.0	75.0
35	1.0	1338.0	10.0	40.0
36	1.0	50.0	1338.0	70.0
37	1.0	1338.0	10.0	36.0
38	1.0	50.0	1338.0	73.0
39	1.0	1338.0	10.0	38.0
40	1.0	2048.0	1001.0	403.0
41	1.0	2048.0	1001.0	415.0
42	1.0	2048.0	1001.0	413.0
43	1.0	2048.0	1001.0	405.0
44	1.0	2048.0	1001.0	419.0
45	1.0	2048.0	1001.0	396.0
46	1.0	2048.0	1001.0	413.0
47	1.0	2048.0	1001.0	405.0
48	1.0	2048.0	1001.0	390.0
49	1.0	2048.0	1001.0	398.0
50	1.0	28224.0	1024.0	3735.0
51	1.0	1024.0	10.0	58.0
52	1.0	28224.0	1024.0	3842.0
53	1.0	1024.0	10.0	53.0
54	1.0	28224.0	1024.0	3700.0
55	1.0	1024.0	10.0	58.0
56	1.0	28224.0	1024.0	3689.0
57	1.0	1024.0	10.0	44.0
58	1.0	28224.0	1024.0	3739.0
59	1.0	1024.0	10.0	50.0
60	1.0	28224.0	1024.0	3830.0
61	1.0	1024.0	10.0	47.0
62	1.0	28224.0	1024.0	3704.0
63	1.0	1024.0	10.0	46.0
64	1.0	28224.0	1024.0	3648.0
65	1.0	1024.0	10.0	49.0
66	1.0	28224.0	1024.0	3737.0
67	1.0	1024.0	10.0	39.0
68	1.0	28224.0	1024.0	3738.0
69	1.0	1024.0	10.0	48.0
70	1.0	256.0	1024.0	160.0
71	1.0	1024.0	10.0	35.0
72	1.0	256.0	1024.0	142.0
73	1.0	1024.0	10.0	32.0
74	1.0	256.0	1024.0	150.0
75	1.0	1024.0	10.0	36.0
76	1.0	256.0	1024.0	121.0
