	avgpool_N	avgpool_H	avgpool_W	avgpool_C	avgpool_ksizeH	avgpool_ksizeW	avgpool_zPadHLeft	avgpool_zPadHRight	avgpool_zPadWLeft	avgpool_zPadWRight	avgpool_strideH	avgpool_strideW	avgpool_N1	avgpool_imgH	avgpool_imgW	avgpool_C1	time_cost
0	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	222.0
1	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	202.0
2	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	231.0
3	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	220.0
4	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	199.0
5	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	221.0
6	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	203.0
7	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	209.0
8	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	231.0
9	1.0	1.0	1.0	2048.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	2048.0	192.0
10	1.0	28.0	28.0	128.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	2670.0
11	1.0	14.0	14.0	256.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	28.0	28.0	256.0	1141.0
12	1.0	7.0	7.0	512.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	14.0	14.0	512.0	1620.0
13	1.0	1.0	1.0	1024.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	1024.0	139.0
14	1.0	28.0	28.0	128.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	2778.0
15	1.0	14.0	14.0	256.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	28.0	28.0	256.0	986.0
16	1.0	7.0	7.0	512.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	14.0	14.0	512.0	1549.0
17	1.0	1.0	1.0	1024.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	1024.0	140.0
18	1.0	28.0	28.0	128.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	2763.0
19	1.0	14.0	14.0	256.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	28.0	28.0	256.0	1191.0
20	1.0	7.0	7.0	512.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	14.0	14.0	512.0	1454.0
21	1.0	1.0	1.0	1024.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	1024.0	151.0
22	1.0	28.0	28.0	128.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	2792.0
23	1.0	14.0	14.0	256.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	28.0	28.0	256.0	1067.0
24	1.0	7.0	7.0	512.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	14.0	14.0	512.0	1507.0
25	1.0	1.0	1.0	1024.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	1024.0	140.0
26	1.0	28.0	28.0	128.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	2973.0
27	1.0	14.0	14.0	256.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	28.0	28.0	256.0	1103.0
28	1.0	7.0	7.0	512.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	14.0	14.0	512.0	1610.0
29	1.0	1.0	1.0	1024.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	1024.0	140.0
30	1.0	28.0	28.0	128.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	2910.0
31	1.0	14.0	14.0	256.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	28.0	28.0	256.0	1032.0
32	1.0	7.0	7.0	512.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	14.0	14.0	512.0	1558.0
33	1.0	1.0	1.0	1024.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	1024.0	144.0
34	1.0	28.0	28.0	128.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	2745.0
35	1.0	14.0	14.0	256.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	28.0	28.0	256.0	980.0
36	1.0	7.0	7.0	512.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	14.0	14.0	512.0	1479.0
37	1.0	1.0	1.0	1024.0	7.0	7.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	7.0	1024.0	123.0
38	1.0	28.0	28.0	128.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	56.0	56.0	128.0	2873.0
