	maxpool_N	maxpool_H	maxpool_W	maxpool_C	maxpool_ksizeH	maxpool_ksizeW	maxpool_zPadHLeft	maxpool_zPadHRight	maxpool_zPadWLeft	maxpool_zPadWRight	maxpool_strideH	maxpool_strideW	maxpool_N1	maxpool_imgH	maxpool_imgW	maxpool_C1	time_cost
0	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	405.0
1	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	222.0
2	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	394.0
3	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	228.0
4	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	402.0
5	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	226.0
6	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	408.0
7	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	226.0
8	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	391.0
9	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	228.0
10	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	403.0
11	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	227.0
12	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	416.0
13	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	217.0
14	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	415.0
15	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	227.0
16	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	402.0
17	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	227.0
18	1.0	12.0	12.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	20.0	407.0
19	1.0	4.0	4.0	20.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	20.0	225.0
20	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	383.0
21	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	232.0
22	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	203.0
23	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	344.0
24	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	216.0
25	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	198.0
26	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	442.0
27	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	229.0
28	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	199.0
29	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	364.0
30	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	233.0
31	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	198.0
32	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	330.0
33	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	218.0
34	1.0	1.0	1.0	50.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	3.0	3.0	50.0	199.0
35	1.0	12.0	12.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	24.0	24.0	25.0	440.0
36	1.0	4.0	4.0	25.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	8.0	8.0	25.0	230.0
