	trunc_coeff	time_cost
0	10.0	67.0
1	10.0	66.0
2	10.0	66.0
3	10.0	66.0
4	10.0	67.0
5	10.0	68.0
6	10.0	67.0
7	10.0	68.0
8	10.0	68.0
9	10.0	67.0
10	10.0	66.0
11	10.0	68.0
12	10.0	66.0
13	10.0	65.0
14	10.0	67.0
15	10.0	67.0
16	10.0	68.0
17	10.0	67.0
18	10.0	67.0
19	10.0	68.0
20	200704.0	3333.0
21	802816.0	11592.0
22	802816.0	12325.0
23	802816.0	11687.0
24	401408.0	5545.0
25	100352.0	1908.0
26	401408.0	6523.0
27	401408.0	5545.0
28	401408.0	6443.0
29	200704.0	3723.0
30	200704.0	2917.0
31	200704.0	3074.0
32	200704.0	3710.0
33	200704.0	2896.0
34	200704.0	2997.0
35	100352.0	2020.0
36	100352.0	1162.0
37	100352.0	1941.0
38	200704.0	3179.0
39	802816.0	11744.0
40	802816.0	12214.0
41	802816.0	11736.0
42	401408.0	5553.0
43	100352.0	1821.0
44	401408.0	6424.0
45	401408.0	5689.0
46	401408.0	6308.0
47	200704.0	3637.0
48	200704.0	2850.0
49	200704.0	2846.0
50	200704.0	3545.0
51	200704.0	2892.0
52	200704.0	3011.0
53	100352.0	1847.0
54	100352.0	1168.0
55	100352.0	1816.0
56	200704.0	3297.0
57	802816.0	11814.0
58	802816.0	12597.0
59	802816.0	11638.0
60	401408.0	5551.0
61	100352.0	1811.0
62	401408.0	6446.0
63	401408.0	5484.0
64	401408.0	6435.0
65	200704.0	3678.0
66	200704.0	2974.0
67	200704.0	2871.0
68	200704.0	3722.0
69	200704.0	2910.0
70	200704.0	2879.0
71	100352.0	1988.0
72	100352.0	1230.0
73	100352.0	1976.0
74	200704.0	3359.0
75	802816.0	12107.0
76	802816.0	12828.0
77	802816.0	12150.0
78	401408.0	5586.0
79	100352.0	1887.0
80	401408.0	6473.0
81	401408.0	5554.0
82	401408.0	6323.0
83	200704.0	3683.0
84	200704.0	3163.0
85	200704.0	3062.0
86	200704.0	3760.0
87	200704.0	3047.0
88	200704.0	2840.0
89	100352.0	1929.0
90	100352.0	1175.0
91	100352.0	1796.0
92	200704.0	3050.0
93	802816.0	11685.0
94	802816.0	12325.0
95	802816.0	11909.0
96	401408.0	5914.0
97	100352.0	1950.0
98	401408.0	6344.0
99	401408.0	5674.0
100	401408.0	6526.0
101	200704.0	3751.0
102	200704.0	2877.0
103	200704.0	2912.0
104	200704.0	3683.0
105	200704.0	3011.0
106	200704.0	2974.0
107	100352.0	1946.0
108	100352.0	1125.0
109	100352.0	1869.0
110	200704.0	3281.0
111	802816.0	12136.0
112	802816.0	12503.0
113	802816.0	12112.0
114	401408.0	5636.0
115	100352.0	2007.0
116	401408.0	6382.0
117	401408.0	5829.0
118	401408.0	6420.0
119	200704.0	3792.0
120	200704.0	3078.0
121	200704.0	3032.0
122	200704.0	3977.0
123	200704.0	2928.0
124	200704.0	2994.0
125	100352.0	2038.0
126	100352.0	1218.0
127	100352.0	1883.0
128	200704.0	3128.0
129	802816.0	11995.0
130	802816.0	12401.0
131	802816.0	12024.0
132	401408.0	5815.0
133	100352.0	1894.0
134	401408.0	6581.0
135	401408.0	5717.0
136	401408.0	6616.0
137	200704.0	3751.0
138	200704.0	2914.0
139	200704.0	2895.0
140	200704.0	3819.0
141	200704.0	3122.0
142	200704.0	3014.0
143	100352.0	1806.0
144	100352.0	1336.0
145	100352.0	1886.0
146	200704.0	3081.0
147	802816.0	12342.0
148	802816.0	12959.0
149	802816.0	12391.0
150	401408.0	5959.0
151	100352.0	1970.0
152	401408.0	6701.0
153	401408.0	5826.0
154	401408.0	6490.0
155	200704.0	3809.0
156	200704.0	2899.0
157	200704.0	3099.0
158	200704.0	3670.0
159	200704.0	2943.0
160	200704.0	3001.0
161	100352.0	1918.0
162	100352.0	1174.0
163	100352.0	1843.0
164	200704.0	3309.0
165	802816.0	12178.0
166	802816.0	12957.0
167	802816.0	12081.0
168	401408.0	5577.0
169	100352.0	1991.0
170	401408.0	6933.0
171	401408.0	5825.0
172	401408.0	6438.0
173	200704.0	3772.0
174	200704.0	2980.0
175	200704.0	3068.0
176	200704.0	3759.0
177	200704.0	3021.0
178	200704.0	3050.0
179	100352.0	1942.0
180	100352.0	1206.0
181	100352.0	1854.0
182	200704.0	3275.0
183	802816.0	12070.0
184	802816.0	12863.0
185	802816.0	11573.0
186	401408.0	5609.0
187	100352.0	1863.0
188	401408.0	6302.0
189	401408.0	5633.0
190	401408.0	6307.0
191	200704.0	3653.0
192	200704.0	2855.0
193	200704.0	2945.0
194	200704.0	3674.0
195	200704.0	2841.0
196	200704.0	2888.0
197	100352.0	1857.0
198	100352.0	1137.0
199	100352.0	1847.0
200	100352.0	1855.0
201	100352.0	1185.0
202	100352.0	1867.0
203	100352.0	1824.0
204	100352.0	1915.0
205	100352.0	1893.0
206	100352.0	1942.0
207	25088.0	359.0
208	25088.0	410.0
209	25088.0	418.0
210	100352.0	1186.0
211	25088.0	468.0
212	25088.0	401.0
213	25088.0	421.0
214	25088.0	401.0
215	25088.0	410.0
216	25088.0	1106.0
217	25088.0	417.0
218	25088.0	419.0
219	25088.0	355.0
220	50176.0	1405.0
221	6272.0	167.0
222	6272.0	201.0
223	6272.0	198.0
224	6272.0	200.0
225	6272.0	202.0
226	6272.0	198.0
227	6272.0	214.0
228	6272.0	204.0
229	6272.0	197.0
230	6272.0	205.0
231	6272.0	198.0
232	6272.0	194.0
233	6272.0	1090.0
234	6272.0	166.0
235	6272.0	176.0
236	6272.0	182.0
237	6272.0	206.0
238	6272.0	199.0
239	6272.0	173.0
240	6272.0	192.0
241	6272.0	210.0
242	6272.0	202.0
243	6272.0	184.0
244	6272.0	204.0
245	25088.0	340.0
246	1568.0	103.0
247	1568.0	109.0
248	1568.0	111.0
249	1568.0	112.0
250	1568.0	111.0
251	1568.0	111.0
252	1568.0	111.0
253	1568.0	113.0
254	1568.0	102.0
255	1568.0	118.0
256	1568.0	107.0
257	1568.0	91.0
258	1568.0	101.0
259	1568.0	113.0
260	1568.0	112.0
261	1568.0	111.0
262	100352.0	1876.0
263	100352.0	1189.0
264	100352.0	2029.0
265	100352.0	1869.0
266	100352.0	1891.0
267	100352.0	1889.0
268	100352.0	2146.0
269	25088.0	413.0
270	25088.0	350.0
271	25088.0	394.0
272	100352.0	1223.0
273	25088.0	399.0
274	25088.0	395.0
275	25088.0	483.0
276	25088.0	404.0
277	25088.0	412.0
278	25088.0	1101.0
279	25088.0	402.0
280	25088.0	406.0
281	25088.0	413.0
282	50176.0	1499.0
283	6272.0	214.0
284	6272.0	200.0
285	6272.0	207.0
286	6272.0	199.0
287	6272.0	203.0
288	6272.0	199.0
289	6272.0	202.0
290	6272.0	199.0
291	6272.0	202.0
292	6272.0	198.0
293	6272.0	201.0
294	6272.0	181.0
295	6272.0	926.0
296	6272.0	210.0
297	6272.0	194.0
298	6272.0	188.0
299	6272.0	198.0
300	6272.0	148.0
301	6272.0	178.0
302	6272.0	205.0
303	6272.0	189.0
304	6272.0	209.0
305	6272.0	197.0
306	6272.0	197.0
307	25088.0	348.0
308	1568.0	111.0
309	1568.0	112.0
310	1568.0	109.0
311	1568.0	109.0
312	1568.0	101.0
313	1568.0	89.0
314	1568.0	111.0
315	1568.0	101.0
316	1568.0	110.0
317	1568.0	107.0
318	1568.0	103.0
319	1568.0	101.0
320	1568.0	110.0
321	1568.0	112.0
322	1568.0	103.0
323	1568.0	107.0
324	100352.0	1850.0
325	100352.0	1177.0
326	100352.0	1854.0
327	100352.0	1880.0
328	100352.0	1868.0
329	100352.0	1861.0
330	100352.0	2207.0
331	25088.0	355.0
332	25088.0	402.0
333	25088.0	392.0
334	100352.0	1293.0
335	25088.0	402.0
336	25088.0	330.0
337	25088.0	417.0
338	25088.0	391.0
339	25088.0	381.0
340	25088.0	1078.0
341	25088.0	413.0
342	25088.0	422.0
343	25088.0	484.0
344	50176.0	1309.0
345	6272.0	191.0
346	6272.0	203.0
347	6272.0	199.0
348	6272.0	198.0
349	6272.0	200.0
350	6272.0	201.0
351	6272.0	197.0
352	6272.0	184.0
353	6272.0	136.0
354	6272.0	199.0
355	6272.0	199.0
356	6272.0	195.0
357	6272.0	998.0
358	6272.0	197.0
359	6272.0	184.0
360	6272.0	192.0
361	6272.0	199.0
362	6272.0	138.0
363	6272.0	168.0
364	6272.0	196.0
365	6272.0	186.0
366	6272.0	196.0
367	6272.0	191.0
368	6272.0	198.0
369	25088.0	369.0
370	1568.0	100.0
371	1568.0	109.0
372	1568.0	112.0
373	1568.0	87.0
374	1568.0	108.0
375	1568.0	113.0
376	1568.0	108.0
