	trunc_coeff	time_cost
0	10.0	69.0
1	10.0	69.0
2	10.0	69.0
3	10.0	69.0
4	10.0	70.0
5	10.0	70.0
6	10.0	70.0
7	10.0	71.0
8	10.0	72.0
9	10.0	71.0
10	10.0	68.0
11	10.0	70.0
12	10.0	69.0
13	10.0	67.0
14	10.0	69.0
15	10.0	70.0
16	10.0	71.0
17	10.0	71.0
18	10.0	70.0
19	10.0	70.0
20	200704.0	3312.0
21	802816.0	12563.0
22	802816.0	13435.0
23	802816.0	12693.0
24	401408.0	6154.0
25	100352.0	2141.0
26	401408.0	7218.0
27	401408.0	6148.0
28	401408.0	7043.0
29	200704.0	4129.0
30	200704.0	3335.0
31	200704.0	3486.0
32	200704.0	4126.0
33	200704.0	3319.0
34	200704.0	3422.0
35	100352.0	2372.0
36	100352.0	1524.0
37	100352.0	2358.0
38	200704.0	3153.0
39	802816.0	12802.0
40	802816.0	13189.0
41	802816.0	12857.0
42	401408.0	6095.0
43	100352.0	2136.0
44	401408.0	7115.0
45	401408.0	6313.0
46	401408.0	6847.0
47	200704.0	4083.0
48	200704.0	3255.0
49	200704.0	3273.0
50	200704.0	3955.0
51	200704.0	3312.0
52	200704.0	3415.0
53	100352.0	2138.0
54	100352.0	1499.0
55	100352.0	2116.0
56	200704.0	3277.0
57	802816.0	12889.0
58	802816.0	13586.0
59	802816.0	12660.0
60	401408.0	6199.0
61	100352.0	2119.0
62	401408.0	7124.0
63	401408.0	6063.0
64	401408.0	7156.0
65	200704.0	4094.0
66	200704.0	3413.0
67	200704.0	3282.0
68	200704.0	4123.0
69	200704.0	3328.0
70	200704.0	3295.0
71	100352.0	2261.0
72	100352.0	1600.0
73	100352.0	2806.0
74	200704.0	3333.0
75	802816.0	13220.0
76	802816.0	13928.0
77	802816.0	13147.0
78	401408.0	6231.0
79	100352.0	2185.0
80	401408.0	7025.0
81	401408.0	6175.0
82	401408.0	6935.0
83	200704.0	4084.0
84	200704.0	3569.0
85	200704.0	3476.0
86	200704.0	4191.0
87	200704.0	3462.0
88	200704.0	3288.0
89	100352.0	2230.0
90	100352.0	1600.0
91	100352.0	2154.0
92	200704.0	3026.0
93	802816.0	12727.0
94	802816.0	13275.0
95	802816.0	13029.0
96	401408.0	6471.0
97	100352.0	2217.0
98	401408.0	7017.0
99	401408.0	6298.0
100	401408.0	7120.0
101	200704.0	4185.0
102	200704.0	3349.0
103	200704.0	3374.0
104	200704.0	4103.0
105	200704.0	3437.0
106	200704.0	3423.0
107	100352.0	2250.0
108	100352.0	1937.0
109	100352.0	2321.0
110	200704.0	3248.0
111	802816.0	13313.0
112	802816.0	13508.0
113	802816.0	13220.0
114	401408.0	6205.0
115	100352.0	2323.0
116	401408.0	7085.0
117	401408.0	6464.0
118	401408.0	6924.0
119	200704.0	4244.0
120	200704.0	3492.0
121	200704.0	3447.0
122	200704.0	4387.0
123	200704.0	3350.0
124	200704.0	3412.0
125	100352.0	2358.0
126	100352.0	1569.0
127	100352.0	2215.0
128	200704.0	3114.0
129	802816.0	13154.0
130	802816.0	13444.0
131	802816.0	13168.0
132	401408.0	6403.0
133	100352.0	2184.0
134	401408.0	7205.0
135	401408.0	6380.0
136	401408.0	7234.0
137	200704.0	4181.0
138	200704.0	3321.0
139	200704.0	3317.0
140	200704.0	4280.0
141	200704.0	3584.0
142	200704.0	3449.0
143	100352.0	2056.0
144	100352.0	2019.0
145	100352.0	2251.0
146	200704.0	3062.0
147	802816.0	13488.0
148	802816.0	14033.0
149	802816.0	13424.0
150	401408.0	6560.0
151	100352.0	2282.0
152	401408.0	7381.0
153	401408.0	6376.0
154	401408.0	6989.0
155	200704.0	4229.0
156	200704.0	3306.0
157	200704.0	3513.0
158	200704.0	4099.0
159	200704.0	3359.0
160	200704.0	3463.0
161	100352.0	2204.0
162	100352.0	1530.0
163	100352.0	2151.0
164	200704.0	3292.0
165	802816.0	13262.0
166	802816.0	13958.0
167	802816.0	13129.0
168	401408.0	6188.0
169	100352.0	2312.0
170	401408.0	7588.0
171	401408.0	6364.0
172	401408.0	7011.0
173	200704.0	4204.0
174	200704.0	3406.0
175	200704.0	3481.0
176	200704.0	4176.0
177	200704.0	3427.0
178	200704.0	3458.0
179	100352.0	2174.0
180	100352.0	1942.0
181	100352.0	2244.0
182	200704.0	3254.0
183	802816.0	13242.0
184	802816.0	13940.0
185	802816.0	12517.0
186	401408.0	6277.0
187	100352.0	2172.0
188	401408.0	6916.0
189	401408.0	6250.0
190	401408.0	6930.0
191	200704.0	4067.0
192	200704.0	3270.0
193	200704.0	3356.0
194	200704.0	4090.0
195	200704.0	3251.0
196	200704.0	3308.0
197	100352.0	2162.0
198	100352.0	1490.0
199	100352.0	2218.0
200	100352.0	2324.0
201	100352.0	1661.0
202	100352.0	2303.0
203	100352.0	2294.0
204	100352.0	2378.0
205	100352.0	2320.0
206	100352.0	1967.0
207	25088.0	494.0
208	25088.0	542.0
209	25088.0	560.0
210	100352.0	1414.0
211	25088.0	606.0
212	25088.0	545.0
213	25088.0	552.0
