	BN1_C	BN1_H	BN1_W	time_cost
0	64.0	56.0	56.0	254.0
1	256.0	56.0	56.0	1021.0
2	256.0	56.0	56.0	949.0
3	256.0	56.0	56.0	954.0
4	64.0	56.0	56.0	239.0
5	256.0	56.0	56.0	1054.0
6	256.0	56.0	56.0	935.0
7	256.0	56.0	56.0	953.0
8	64.0	56.0	56.0	246.0
9	256.0	56.0	56.0	1105.0
10	256.0	56.0	56.0	890.0
11	256.0	56.0	56.0	951.0
12	64.0	56.0	56.0	257.0
13	256.0	56.0	56.0	1081.0
14	256.0	56.0	56.0	939.0
15	256.0	56.0	56.0	990.0
16	64.0	56.0	56.0	270.0
17	256.0	56.0	56.0	1019.0
18	256.0	56.0	56.0	926.0
19	256.0	56.0	56.0	893.0
20	64.0	56.0	56.0	234.0
21	256.0	56.0	56.0	998.0
22	256.0	56.0	56.0	899.0
23	256.0	56.0	56.0	941.0
24	64.0	56.0	56.0	286.0
25	256.0	56.0	56.0	1055.0
26	256.0	56.0	56.0	891.0
27	256.0	56.0	56.0	1008.0
28	64.0	56.0	56.0	270.0
29	256.0	56.0	56.0	1052.0
30	256.0	56.0	56.0	914.0
31	256.0	56.0	56.0	930.0
32	64.0	56.0	56.0	215.0
33	256.0	56.0	56.0	1088.0
34	256.0	56.0	56.0	934.0
35	256.0	56.0	56.0	981.0
36	64.0	56.0	56.0	287.0
37	256.0	56.0	56.0	1054.0
38	256.0	56.0	56.0	929.0
39	256.0	56.0	56.0	929.0
40	64.0	56.0	56.0	211.0
41	256.0	56.0	56.0	973.0
42	256.0	56.0	56.0	899.0
43	256.0	56.0	56.0	1009.0
44	64.0	56.0	56.0	281.0
45	256.0	56.0	56.0	1067.0
46	256.0	56.0	56.0	938.0
47	256.0	56.0	56.0	982.0
48	64.0	56.0	56.0	313.0
49	256.0	56.0	56.0	1074.0
50	256.0	56.0	56.0	874.0
51	256.0	56.0	56.0	1082.0
52	64.0	56.0	56.0	239.0
53	256.0	56.0	56.0	1071.0
54	256.0	56.0	56.0	960.0
55	256.0	56.0	56.0	950.0
56	64.0	56.0	56.0	224.0
57	256.0	56.0	56.0	959.0
58	256.0	56.0	56.0	929.0
59	256.0	56.0	56.0	1082.0
