	BN2_C	BN2_H	BN2_W	time_cost
0	512.0	28.0	28.0	698.0
1	128.0	28.0	28.0	172.0
2	512.0	28.0	28.0	644.0
3	512.0	28.0	28.0	645.0
4	512.0	28.0	28.0	640.0
5	1024.0	14.0	14.0	309.0
6	1024.0	14.0	14.0	404.0
7	1024.0	14.0	14.0	377.0
8	1024.0	14.0	14.0	390.0
9	1024.0	14.0	14.0	319.0
10	1024.0	14.0	14.0	303.0
11	2048.0	7.0	7.0	142.0
12	2048.0	7.0	7.0	142.0
13	7.0	7.0	2048.0	144.0
14	512.0	28.0	28.0	625.0
15	128.0	28.0	28.0	156.0
16	512.0	28.0	28.0	649.0
17	512.0	28.0	28.0	613.0
18	512.0	28.0	28.0	636.0
19	1024.0	14.0	14.0	329.0
20	1024.0	14.0	14.0	323.0
21	1024.0	14.0	14.0	273.0
22	1024.0	14.0	14.0	309.0
23	1024.0	14.0	14.0	321.0
24	1024.0	14.0	14.0	303.0
25	2048.0	7.0	7.0	161.0
26	2048.0	7.0	7.0	155.0
27	7.0	7.0	2048.0	146.0
28	512.0	28.0	28.0	672.0
29	128.0	28.0	28.0	195.0
30	512.0	28.0	28.0	645.0
31	512.0	28.0	28.0	616.0
32	512.0	28.0	28.0	659.0
33	1024.0	14.0	14.0	347.0
34	1024.0	14.0	14.0	365.0
35	1024.0	14.0	14.0	361.0
36	1024.0	14.0	14.0	358.0
37	1024.0	14.0	14.0	341.0
38	1024.0	14.0	14.0	379.0
39	2048.0	7.0	7.0	152.0
40	2048.0	7.0	7.0	165.0
41	7.0	7.0	2048.0	193.0
42	512.0	28.0	28.0	685.0
43	128.0	28.0	28.0	122.0
44	512.0	28.0	28.0	536.0
45	512.0	28.0	28.0	729.0
46	512.0	28.0	28.0	628.0
47	1024.0	14.0	14.0	375.0
48	1024.0	14.0	14.0	349.0
49	1024.0	14.0	14.0	340.0
50	1024.0	14.0	14.0	321.0
51	1024.0	14.0	14.0	303.0
52	1024.0	14.0	14.0	372.0
53	2048.0	7.0	7.0	137.0
54	2048.0	7.0	7.0	135.0
55	7.0	7.0	2048.0	137.0
56	512.0	28.0	28.0	592.0
57	128.0	28.0	28.0	155.0
58	512.0	28.0	28.0	606.0
59	512.0	28.0	28.0	594.0
60	512.0	28.0	28.0	683.0
61	1024.0	14.0	14.0	304.0
62	1024.0	14.0	14.0	299.0
63	1024.0	14.0	14.0	340.0
64	1024.0	14.0	14.0	361.0
65	1024.0	14.0	14.0	375.0
66	1024.0	14.0	14.0	338.0
67	2048.0	7.0	7.0	148.0
68	2048.0	7.0	7.0	184.0
69	7.0	7.0	2048.0	152.0
70	512.0	28.0	28.0	660.0
71	128.0	28.0	28.0	108.0
72	512.0	28.0	28.0	613.0
73	512.0	28.0	28.0	648.0
74	512.0	28.0	28.0	626.0
75	1024.0	14.0	14.0	380.0
76	1024.0	14.0	14.0	364.0
77	1024.0	14.0	14.0	334.0
78	1024.0	14.0	14.0	384.0
79	1024.0	14.0	14.0	262.0
80	1024.0	14.0	14.0	370.0
81	2048.0	7.0	7.0	163.0
82	2048.0	7.0	7.0	154.0
83	7.0	7.0	2048.0	149.0
84	512.0	28.0	28.0	667.0
85	128.0	28.0	28.0	178.0
86	512.0	28.0	28.0	606.0
87	512.0	28.0	28.0	712.0
88	512.0	28.0	28.0	660.0
89	1024.0	14.0	14.0	337.0
90	1024.0	14.0	14.0	347.0
91	1024.0	14.0	14.0	362.0
92	1024.0	14.0	14.0	348.0
93	1024.0	14.0	14.0	278.0
94	1024.0	14.0	14.0	399.0
95	2048.0	7.0	7.0	149.0
96	2048.0	7.0	7.0	156.0
97	7.0	7.0	2048.0	144.0
98	512.0	28.0	28.0	637.0
99	128.0	28.0	28.0	173.0
100	512.0	28.0	28.0	683.0
101	512.0	28.0	28.0	617.0
