	BN2_coeff	time_cost
0	401408.0	881.0
1	100352.0	206.0
2	401408.0	850.0
3	401408.0	830.0
4	401408.0	855.0
5	200704.0	383.0
6	200704.0	499.0
7	200704.0	429.0
8	200704.0	470.0
9	200704.0	400.0
10	200704.0	389.0
11	100352.0	200.0
12	100352.0	201.0
13	100352.0	196.0
14	401408.0	829.0
15	100352.0	204.0
16	401408.0	867.0
17	401408.0	844.0
18	401408.0	841.0
19	200704.0	421.0
20	200704.0	408.0
21	200704.0	397.0
22	200704.0	381.0
23	200704.0	428.0
24	200704.0	396.0
25	100352.0	231.0
26	100352.0	200.0
27	100352.0	208.0
28	401408.0	841.0
29	100352.0	234.0
30	401408.0	941.0
31	401408.0	857.0
32	401408.0	775.0
33	200704.0	406.0
34	200704.0	414.0
35	200704.0	408.0
36	200704.0	465.0
37	200704.0	422.0
38	200704.0	479.0
39	100352.0	194.0
40	100352.0	208.0
41	100352.0	258.0
42	401408.0	881.0
43	100352.0	157.0
44	401408.0	771.0
45	401408.0	841.0
46	401408.0	849.0
47	200704.0	457.0
48	200704.0	393.0
49	200704.0	467.0
50	200704.0	378.0
51	200704.0	359.0
52	200704.0	466.0
53	100352.0	179.0
54	100352.0	203.0
55	100352.0	195.0
56	401408.0	761.0
57	100352.0	200.0
58	401408.0	797.0
59	401408.0	780.0
60	401408.0	899.0
61	200704.0	404.0
62	200704.0	377.0
63	200704.0	420.0
64	200704.0	446.0
65	200704.0	425.0
66	200704.0	423.0
67	100352.0	192.0
68	100352.0	233.0
69	100352.0	199.0
70	401408.0	838.0
71	100352.0	161.0
72	401408.0	789.0
73	401408.0	865.0
74	401408.0	862.0
75	200704.0	522.0
76	200704.0	433.0
77	200704.0	429.0
78	200704.0	493.0
79	200704.0	396.0
80	200704.0	450.0
81	100352.0	204.0
82	100352.0	195.0
83	100352.0	199.0
84	401408.0	906.0
85	100352.0	207.0
86	401408.0	726.0
87	401408.0	851.0
88	401408.0	867.0
89	200704.0	408.0
90	200704.0	433.0
91	200704.0	415.0
92	200704.0	401.0
93	200704.0	343.0
94	200704.0	449.0
95	100352.0	201.0
96	100352.0	196.0
97	100352.0	197.0
98	401408.0	835.0
99	100352.0	238.0
100	401408.0	927.0
101	401408.0	840.0
102	401408.0	881.0
103	200704.0	489.0
104	200704.0	402.0
105	200704.0	458.0
106	200704.0	449.0
107	200704.0	429.0
108	200704.0	361.0
109	100352.0	272.0
110	100352.0	213.0
111	100352.0	254.0
112	401408.0	835.0
113	100352.0	204.0
114	401408.0	780.0
115	401408.0	813.0
116	401408.0	788.0
117	200704.0	419.0
118	200704.0	409.0
119	200704.0	449.0
120	200704.0	462.0
121	200704.0	461.0
122	200704.0	410.0
123	100352.0	194.0
124	100352.0	198.0
125	100352.0	209.0
126	401408.0	851.0
127	100352.0	208.0
128	401408.0	830.0
129	401408.0	823.0
130	401408.0	882.0
131	200704.0	431.0
132	200704.0	396.0
133	200704.0	447.0
134	200704.0	412.0
135	200704.0	428.0
136	200704.0	361.0
137	100352.0	248.0
138	100352.0	162.0
139	100352.0	190.0
140	401408.0	903.0
141	100352.0	190.0
142	401408.0	816.0
143	401408.0	892.0
144	401408.0	854.0
145	200704.0	443.0
146	200704.0	435.0
147	200704.0	404.0
148	200704.0	496.0
149	200704.0	402.0
150	200704.0	382.0
151	100352.0	250.0
152	100352.0	204.0
153	100352.0	183.0
154	401408.0	806.0
155	100352.0	202.0
156	401408.0	825.0
157	401408.0	848.0
158	401408.0	910.0
159	200704.0	445.0
160	200704.0	397.0
161	200704.0	427.0
162	200704.0	380.0
163	200704.0	397.0
164	200704.0	395.0
165	100352.0	248.0
166	100352.0	194.0
167	100352.0	194.0
168	401408.0	831.0
169	100352.0	185.0
170	401408.0	835.0
171	401408.0	814.0
172	401408.0	814.0
173	200704.0	469.0
174	200704.0	424.0
175	200704.0	461.0
176	200704.0	360.0
177	200704.0	367.0
178	200704.0	411.0
179	100352.0	224.0
180	100352.0	197.0
181	100352.0	239.0
182	401408.0	766.0
183	100352.0	192.0
184	401408.0	863.0
185	401408.0	752.0
186	401408.0	870.0
187	200704.0	386.0
188	200704.0	353.0
189	200704.0	406.0
190	200704.0	377.0
191	200704.0	435.0
192	200704.0	437.0
193	100352.0	240.0
194	100352.0	205.0
195	100352.0	180.0
196	401408.0	886.0
197	100352.0	212.0
198	401408.0	846.0
199	401408.0	797.0
200	401408.0	837.0
201	200704.0	470.0
202	200704.0	406.0
203	200704.0	514.0
204	200704.0	388.0
205	200704.0	387.0
206	200704.0	375.0
207	100352.0	194.0
208	100352.0	199.0
209	100352.0	210.0
210	200704.0	384.0
211	301056.0	657.0
212	401408.0	877.0
213	501760.0	1036.0
214	602112.0	1225.0
215	702464.0	1440.0
216	802816.0	1409.0
217	100352.0	203.0
218	125440.0	259.0
219	150528.0	308.0
220	175616.0	343.0
221	100352.0	209.0
222	200704.0	341.0
223	225792.0	440.0
224	250880.0	488.0
225	275968.0	630.0
226	301056.0	601.0
227	326144.0	622.0
228	351232.0	703.0
229	376320.0	684.0
230	401408.0	749.0
231	50176.0	98.0
232	56448.0	112.0
233	62720.0	123.0
234	68992.0	113.0
235	75264.0	132.0
236	81536.0	147.0
237	87808.0	153.0
238	94080.0	154.0
239	100352.0	178.0
240	106624.0	202.0
241	112896.0	188.0
242	119168.0	209.0
243	125440.0	261.0
244	131712.0	265.0
245	137984.0	254.0
246	144256.0	312.0
247	150528.0	270.0
248	156800.0	273.0
249	163072.0	346.0
250	169344.0	318.0
251	175616.0	324.0
252	181888.0	314.0
253	188160.0	312.0
254	194432.0	396.0
255	200704.0	377.0
256	25088.0	56.0
257	26656.0	54.0
258	28224.0	50.0
259	29792.0	72.0
260	31360.0	63.0
261	32928.0	77.0
262	34496.0	63.0
263	36064.0	61.0
264	37632.0	61.0
265	39200.0	70.0
266	40768.0	61.0
267	42336.0	69.0
268	43904.0	81.0
269	45472.0	104.0
270	47040.0	76.0
271	48608.0	102.0
272	50176.0	94.0
273	200704.0	383.0
274	301056.0	718.0
275	401408.0	771.0
276	501760.0	1036.0
277	602112.0	1097.0
278	702464.0	1345.0
279	802816.0	1421.0
280	100352.0	197.0
281	125440.0	245.0
282	150528.0	288.0
283	175616.0	329.0
284	100352.0	238.0
285	200704.0	400.0
286	225792.0	453.0
287	250880.0	438.0
288	275968.0	556.0
289	301056.0	601.0
290	326144.0	709.0
291	351232.0	793.0
292	376320.0	666.0
293	401408.0	620.0
294	50176.0	100.0
295	56448.0	114.0
296	62720.0	105.0
297	68992.0	129.0
298	75264.0	123.0
299	81536.0	154.0
300	87808.0	166.0
301	94080.0	177.0
302	100352.0	196.0
303	106624.0	199.0
304	112896.0	193.0
305	119168.0	224.0
306	125440.0	253.0
307	131712.0	258.0
308	137984.0	241.0
309	144256.0	245.0
310	150528.0	323.0
311	156800.0	298.0
312	163072.0	281.0
313	169344.0	287.0
314	175616.0	336.0
315	181888.0	398.0
316	188160.0	342.0
317	194432.0	405.0
318	200704.0	385.0
319	25088.0	49.0
320	26656.0	49.0
321	28224.0	53.0
322	29792.0	72.0
323	31360.0	68.0
324	32928.0	72.0
325	34496.0	67.0
326	36064.0	74.0
327	37632.0	78.0
328	39200.0	84.0
329	40768.0	70.0
330	42336.0	91.0
331	43904.0	80.0
332	45472.0	113.0
333	47040.0	98.0
334	48608.0	101.0
335	50176.0	89.0
336	200704.0	412.0
337	301056.0	516.0
338	401408.0	867.0
339	501760.0	939.0
340	602112.0	1150.0
341	702464.0	1431.0
342	802816.0	1545.0
343	100352.0	207.0
344	125440.0	237.0
345	150528.0	285.0
346	175616.0	356.0
347	100352.0	203.0
348	200704.0	366.0
349	225792.0	464.0
350	250880.0	534.0
351	275968.0	518.0
352	301056.0	592.0
353	326144.0	567.0
354	351232.0	714.0
355	376320.0	650.0
356	401408.0	761.0
357	50176.0	82.0
358	56448.0	101.0
359	62720.0	104.0
360	68992.0	111.0
361	75264.0	136.0
362	81536.0	154.0
363	87808.0	178.0
364	94080.0	165.0
365	100352.0	191.0
366	106624.0	252.0
367	112896.0	226.0
368	119168.0	244.0
369	125440.0	210.0
370	131712.0	254.0
371	137984.0	228.0
372	144256.0	221.0
373	150528.0	280.0
374	156800.0	247.0
375	163072.0	293.0
376	169344.0	324.0
377	175616.0	309.0
378	181888.0	379.0
379	188160.0	409.0
380	194432.0	380.0
381	200704.0	344.0
382	25088.0	52.0
383	26656.0	55.0
384	28224.0	55.0
385	29792.0	52.0
386	31360.0	67.0
387	32928.0	66.0
388	34496.0	70.0
389	36064.0	78.0
390	37632.0	79.0
391	39200.0	88.0
392	40768.0	91.0
393	42336.0	88.0
394	43904.0	81.0
395	45472.0	96.0
396	47040.0	93.0
397	48608.0	88.0
398	50176.0	98.0
399	200704.0	394.0
400	301056.0	630.0
401	401408.0	767.0
402	501760.0	927.0
403	602112.0	1110.0
404	702464.0	1572.0
405	802816.0	1346.0
406	100352.0	183.0
407	125440.0	195.0
408	150528.0	306.0
409	175616.0	327.0
410	100352.0	186.0
411	200704.0	406.0
412	225792.0	446.0
413	250880.0	455.0
414	275968.0	504.0
415	301056.0	580.0
416	326144.0	674.0
417	351232.0	662.0
418	376320.0	662.0
419	401408.0	746.0
420	50176.0	109.0
421	56448.0	105.0
422	62720.0	110.0
423	68992.0	131.0
424	75264.0	133.0
425	81536.0	163.0
426	87808.0	165.0
427	94080.0	182.0
428	100352.0	179.0
429	106624.0	226.0
430	112896.0	200.0
431	119168.0	229.0
432	125440.0	259.0
433	131712.0	210.0
434	137984.0	282.0
435	144256.0	269.0
436	150528.0	282.0
437	156800.0	272.0
438	163072.0	308.0
