	FC_N	FC_CI	FC_CO	time_cost
0	1.0	320.0	1024.0	62.0
1	1.0	1024.0	10.0	10.0
2	1.0	320.0	1024.0	48.0
3	1.0	1024.0	10.0	8.0
4	1.0	320.0	1024.0	43.0
5	1.0	1024.0	10.0	12.0
6	1.0	320.0	1024.0	55.0
7	1.0	1024.0	10.0	11.0
8	1.0	320.0	1024.0	50.0
9	1.0	1024.0	10.0	8.0
10	1.0	320.0	1024.0	50.0
11	1.0	1024.0	10.0	8.0
12	1.0	320.0	1024.0	44.0
13	1.0	1024.0	10.0	8.0
14	1.0	320.0	1024.0	60.0
15	1.0	1024.0	10.0	9.0
16	1.0	320.0	1024.0	47.0
17	1.0	1024.0	10.0	8.0
18	1.0	320.0	1024.0	47.0
19	1.0	1024.0	10.0	8.0
20	1.0	320.0	1024.0	42.0
21	1.0	1024.0	10.0	8.0
22	1.0	320.0	1024.0	44.0
23	1.0	1024.0	10.0	9.0
24	1.0	320.0	1024.0	50.0
25	1.0	1024.0	10.0	8.0
26	1.0	320.0	1024.0	45.0
27	1.0	1024.0	10.0	9.0
28	1.0	320.0	1024.0	45.0
29	1.0	1024.0	10.0	9.0
30	1.0	50.0	1338.0	20.0
31	1.0	1338.0	10.0	9.0
32	1.0	50.0	1338.0	22.0
33	1.0	1338.0	10.0	12.0
34	1.0	50.0	1338.0	18.0
35	1.0	1338.0	10.0	10.0
36	1.0	50.0	1338.0	21.0
37	1.0	1338.0	10.0	12.0
38	1.0	50.0	1338.0	23.0
39	1.0	1338.0	10.0	12.0
40	1.0	50.0	1338.0	23.0
41	1.0	1338.0	10.0	11.0
42	1.0	50.0	1338.0	20.0
43	1.0	1338.0	10.0	10.0
44	1.0	50.0	1338.0	20.0
45	1.0	1338.0	10.0	12.0
46	1.0	50.0	1338.0	20.0
47	1.0	1338.0	10.0	11.0
48	1.0	50.0	1338.0	19.0
49	1.0	1338.0	10.0	9.0
50	1.0	50.0	1338.0	25.0
51	1.0	1338.0	10.0	11.0
52	1.0	50.0	1338.0	23.0
53	1.0	1338.0	10.0	11.0
54	1.0	50.0	1338.0	18.0
55	1.0	1338.0	10.0	10.0
56	1.0	50.0	1338.0	21.0
57	1.0	1338.0	10.0	11.0
58	1.0	50.0	1338.0	21.0
59	1.0	1338.0	10.0	13.0
60	1.0	2048.0	1001.0	218.0
61	1.0	2048.0	1001.0	176.0
62	1.0	2048.0	1001.0	204.0
63	1.0	2048.0	1001.0	208.0
64	1.0	2048.0	1001.0	169.0
65	1.0	2048.0	1001.0	217.0
66	1.0	2048.0	1001.0	289.0
67	1.0	2048.0	1001.0	214.0
68	1.0	2048.0	1001.0	206.0
69	1.0	2048.0	1001.0	204.0
70	1.0	2048.0	1001.0	175.0
71	1.0	2048.0	1001.0	214.0
72	1.0	2048.0	1001.0	146.0
73	1.0	2048.0	1001.0	192.0
74	1.0	2048.0	1001.0	149.0
75	1.0	28224.0	1024.0	1392.0
76	1.0	1024.0	10.0	9.0
77	1.0	28224.0	1024.0	1382.0
78	1.0	1024.0	10.0	10.0
79	1.0	28224.0	1024.0	1404.0
80	1.0	1024.0	10.0	10.0
81	1.0	28224.0	1024.0	1440.0
82	1.0	1024.0	10.0	8.0
83	1.0	28224.0	1024.0	1390.0
84	1.0	1024.0	10.0	9.0
85	1.0	28224.0	1024.0	1362.0
86	1.0	1024.0	10.0	11.0
87	1.0	28224.0	1024.0	1359.0
88	1.0	1024.0	10.0	7.0
89	1.0	28224.0	1024.0	1350.0
90	1.0	1024.0	10.0	10.0
91	1.0	28224.0	1024.0	1350.0
92	1.0	1024.0	10.0	8.0
93	1.0	28224.0	1024.0	1369.0
94	1.0	1024.0	10.0	10.0
95	1.0	28224.0	1024.0	1324.0
96	1.0	1024.0	10.0	8.0
97	1.0	28224.0	1024.0	1337.0
98	1.0	1024.0	10.0	9.0
99	1.0	28224.0	1024.0	1374.0
100	1.0	1024.0	10.0	10.0
101	1.0	28224.0	1024.0	1380.0
102	1.0	1024.0	10.0	8.0
103	1.0	28224.0	1024.0	1399.0
104	1.0	1024.0	10.0	11.0
105	1.0	256.0	1024.0	38.0
106	1.0	1024.0	10.0	6.0
107	1.0	256.0	1024.0	47.0
108	1.0	1024.0	10.0	8.0
109	1.0	256.0	1024.0	43.0
110	1.0	1024.0	10.0	9.0
111	1.0	256.0	1024.0	44.0
112	1.0	1024.0	10.0	8.0
113	1.0	256.0	1024.0	42.0
114	1.0	1024.0	10.0	8.0
115	1.0	256.0	1024.0	48.0
116	1.0	1024.0	10.0	12.0
117	1.0	256.0	1024.0	44.0
118	1.0	1024.0	10.0	8.0
119	1.0	256.0	1024.0	42.0
120	1.0	1024.0	10.0	9.0
121	1.0	256.0	1024.0	37.0
122	1.0	1024.0	10.0	17.0
123	1.0	256.0	1024.0	41.0
124	1.0	1024.0	10.0	8.0
125	1.0	256.0	1024.0	39.0
126	1.0	1024.0	10.0	8.0
127	1.0	256.0	1024.0	42.0
128	1.0	1024.0	10.0	9.0
129	1.0	256.0	1024.0	39.0
130	1.0	1024.0	10.0	8.0
131	1.0	256.0	1024.0	41.0
132	1.0	1024.0	10.0	8.0
133	1.0	256.0	1024.0	37.0
134	1.0	1024.0	10.0	8.0
135	1.0	50176.0	1024.0	4186.0
136	1.0	1024.0	10.0	11.0
137	1.0	50176.0	1024.0	4282.0
138	1.0	1024.0	10.0	13.0
139	1.0	50176.0	1024.0	3623.0
140	1.0	1024.0	10.0	13.0
141	1.0	50176.0	1024.0	4267.0
142	1.0	1024.0	10.0	9.0
143	1.0	50176.0	1024.0	3759.0
144	1.0	1024.0	10.0	8.0
145	1.0	50176.0	1024.0	4749.0
146	1.0	1024.0	10.0	8.0
147	1.0	50176.0	1024.0	4309.0
148	1.0	1024.0	10.0	9.0
149	1.0	50176.0	1024.0	3579.0
150	1.0	1024.0	10.0	15.0
151	1.0	50176.0	1024.0	3784.0
152	1.0	1024.0	10.0	13.0
153	1.0	50176.0	1024.0	4105.0
154	1.0	1024.0	10.0	10.0
155	1.0	50176.0	1024.0	3820.0
156	1.0	1024.0	10.0	9.0
157	1.0	50176.0	1024.0	3048.0
158	1.0	1024.0	10.0	10.0
159	1.0	50176.0	1024.0	4112.0
160	1.0	1024.0	10.0	15.0
161	1.0	50176.0	1024.0	3095.0
162	1.0	1024.0	10.0	8.0
163	1.0	50176.0	1024.0	3639.0
164	1.0	1024.0	10.0	12.0
165	1.0	2048.0	1024.0	230.0
166	1.0	1024.0	10.0	7.0
167	1.0	2048.0	1024.0	213.0
168	1.0	1024.0	10.0	7.0
169	1.0	2048.0	1024.0	215.0
170	1.0	1024.0	10.0	12.0
171	1.0	2048.0	1024.0	234.0
172	1.0	1024.0	10.0	9.0
173	1.0	2048.0	1024.0	240.0
174	1.0	1024.0	10.0	10.0
175	1.0	2048.0	1024.0	261.0
176	1.0	1024.0	10.0	9.0
177	1.0	2048.0	1024.0	186.0
178	1.0	1024.0	10.0	7.0
179	1.0	2048.0	1024.0	194.0
180	1.0	1024.0	10.0	14.0
181	1.0	2048.0	1024.0	238.0
182	1.0	1024.0	10.0	9.0
183	1.0	2048.0	1024.0	229.0
184	1.0	1024.0	10.0	9.0
185	1.0	2048.0	1024.0	186.0
186	1.0	1024.0	10.0	8.0
187	1.0	2048.0	1024.0	220.0
188	1.0	1024.0	10.0	9.0
189	1.0	2048.0	1024.0	170.0
190	1.0	1024.0	10.0	10.0
191	1.0	2048.0	1024.0	225.0
192	1.0	1024.0	10.0	7.0
193	1.0	2048.0	1024.0	230.0
194	1.0	1024.0	10.0	10.0
195	1.0	4608.0	1024.0	421.0
196	1.0	1024.0	10.0	8.0
197	1.0	4608.0	1024.0	367.0
198	1.0	1024.0	10.0	13.0
199	1.0	4608.0	1024.0	311.0
200	1.0	1024.0	10.0	11.0
201	1.0	4608.0	1024.0	326.0
202	1.0	1024.0	10.0	7.0
203	1.0	4608.0	1024.0	367.0
204	1.0	1024.0	10.0	8.0
205	1.0	4608.0	1024.0	411.0
206	1.0	1024.0	10.0	11.0
207	1.0	4608.0	1024.0	318.0
208	1.0	1024.0	10.0	14.0
209	1.0	4608.0	1024.0	359.0
210	1.0	1024.0	10.0	8.0
211	1.0	4608.0	1024.0	325.0
212	1.0	1024.0	10.0	8.0
213	1.0	4608.0	1024.0	394.0
214	1.0	1024.0	10.0	20.0
215	1.0	4608.0	1024.0	353.0
216	1.0	1024.0	10.0	8.0
217	1.0	4608.0	1024.0	343.0
218	1.0	1024.0	10.0	10.0
219	1.0	4608.0	1024.0	334.0
220	1.0	1024.0	10.0	9.0
221	1.0	4608.0	1024.0	402.0
222	1.0	1024.0	10.0	10.0
223	1.0	4608.0	1024.0	357.0
224	1.0	1024.0	10.0	8.0
225	1.0	40000.0	1024.0	1883.0
226	1.0	1024.0	10.0	12.0
227	1.0	40000.0	1024.0	1904.0
228	1.0	1024.0	10.0	10.0
229	1.0	40000.0	1024.0	1881.0
230	1.0	1024.0	10.0	10.0
231	1.0	40000.0	1024.0	1878.0
232	1.0	1024.0	10.0	5.0
233	1.0	40000.0	1024.0	1912.0
234	1.0	1024.0	10.0	9.0
235	1.0	40000.0	1024.0	1871.0
236	1.0	1024.0	10.0	7.0
237	1.0	40000.0	1024.0	1822.0
238	1.0	1024.0	10.0	11.0
239	1.0	40000.0	1024.0	1837.0
240	1.0	1024.0	10.0	8.0
241	1.0	40000.0	1024.0	1998.0
242	1.0	1024.0	10.0	9.0
243	1.0	40000.0	1024.0	1994.0
244	1.0	1024.0	10.0	10.0
245	1.0	40000.0	1024.0	1981.0
246	1.0	1024.0	10.0	15.0
247	1.0	40000.0	1024.0	1901.0
248	1.0	1024.0	10.0	11.0
249	1.0	40000.0	1024.0	1892.0
250	1.0	1024.0	10.0	10.0
251	1.0	40000.0	1024.0	1939.0
252	1.0	1024.0	10.0	11.0
253	1.0	40000.0	1024.0	1878.0
254	1.0	1024.0	10.0	9.0
255	1.0	36864.0	1024.0	5068.0
256	1.0	1024.0	10.0	7.0
257	1.0	36864.0	1024.0	4957.0
258	1.0	1024.0	10.0	9.0
259	1.0	36864.0	1024.0	5491.0
260	1.0	1024.0	10.0	10.0
261	1.0	36864.0	1024.0	5018.0
262	1.0	1024.0	10.0	7.0
263	1.0	36864.0	1024.0	5664.0
264	1.0	1024.0	10.0	12.0
265	1.0	36864.0	1024.0	4817.0
266	1.0	1024.0	10.0	12.0
267	1.0	36864.0	1024.0	4965.0
268	1.0	1024.0	10.0	11.0
269	1.0	36864.0	1024.0	4875.0
270	1.0	1024.0	10.0	10.0
271	1.0	36864.0	1024.0	4954.0
272	1.0	1024.0	10.0	8.0
273	1.0	36864.0	1024.0	4971.0
274	1.0	1024.0	10.0	9.0
275	1.0	36864.0	1024.0	5285.0
276	1.0	1024.0	10.0	9.0
277	1.0	36864.0	1024.0	5004.0
278	1.0	1024.0	10.0	8.0
279	1.0	36864.0	1024.0	4890.0
280	1.0	1024.0	10.0	10.0
281	1.0	36864.0	1024.0	4970.0
282	1.0	1024.0	10.0	7.0
