maxpool_N,maxpool_H,maxpool_W,maxpool_C,maxpool_ksizeH,maxpool_ksizeW,maxpool_zPadHLeft,maxpool_zPadHRight,maxpool_zPadWLeft,maxpool_zPadWRight,maxpool_strideH,maxpool_strideW,maxpool_N1,maxpool_imgH,maxpool_imgW,maxpool_C1,count
1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,15
1.0,1.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,50.0,15
1.0,1.0,1.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,128.0,15
1.0,1.0,1.0,1024.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1024.0,15
1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,7.0,6.0,1.0,15
1.0,2.0,2.0,32.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,32.0,15
1.0,2.0,2.0,1024.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,1024.0,15
1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,3.0,15
1.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,6.0,6.0,3.0,30
1.0,3.0,3.0,128.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,5.0,5.0,128.0,15
1.0,3.0,3.0,128.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,128.0,15
1.0,3.0,3.0,256.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,7.0,7.0,256.0,15
1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,15
1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,7.0,3.0,15
1.0,4.0,4.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,20.0,15
1.0,4.0,4.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,25.0,15
1.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,3.0,15
1.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,3.0,15
