	trunc_coeff	time_cost
0	10.0	1.0
1	10.0	1.0
2	10.0	1.0
3	10.0	2.0
4	10.0	1.0
5	10.0	1.0
6	10.0	1.0
7	10.0	1.0
8	10.0	1.0
9	10.0	1.0
10	10.0	1.0
11	10.0	1.0
12	10.0	2.0
13	10.0	1.0
14	10.0	1.0
15	10.0	1.0
16	10.0	1.0
17	10.0	1.0
18	10.0	1.0
19	10.0	2.0
20	10.0	2.0
21	10.0	1.0
22	10.0	2.0
23	10.0	1.0
24	10.0	1.0
25	10.0	2.0
26	10.0	2.0
27	10.0	1.0
28	10.0	2.0
29	10.0	1.0
30	200704.0	3155.0
31	802816.0	8406.0
32	802816.0	5282.0
33	802816.0	5226.0
34	401408.0	1555.0
35	100352.0	381.0
36	401408.0	3990.0
37	401408.0	3969.0
38	401408.0	4074.0
39	200704.0	751.0
40	200704.0	771.0
41	200704.0	3130.0
42	200704.0	775.0
43	200704.0	756.0
44	200704.0	3061.0
45	100352.0	368.0
46	100352.0	388.0
47	100352.0	397.0
48	200704.0	3258.0
49	802816.0	8318.0
50	802816.0	5637.0
51	802816.0	5337.0
52	401408.0	1611.0
53	100352.0	412.0
54	401408.0	4014.0
55	401408.0	4103.0
56	401408.0	4085.0
57	200704.0	775.0
58	200704.0	769.0
59	200704.0	3188.0
60	200704.0	811.0
61	200704.0	720.0
62	200704.0	3252.0
63	100352.0	385.0
64	100352.0	413.0
65	100352.0	370.0
66	200704.0	3380.0
67	802816.0	8233.0
68	802816.0	5479.0
69	802816.0	5350.0
70	401408.0	1560.0
71	100352.0	369.0
72	401408.0	4063.0
73	401408.0	3857.0
74	401408.0	4509.0
75	200704.0	720.0
76	200704.0	734.0
77	200704.0	3051.0
78	200704.0	797.0
79	200704.0	772.0
80	200704.0	3191.0
81	100352.0	408.0
82	100352.0	380.0
83	100352.0	423.0
84	200704.0	3302.0
85	802816.0	8180.0
86	802816.0	5731.0
87	802816.0	5271.0
88	401408.0	1546.0
89	100352.0	367.0
90	401408.0	3985.0
91	401408.0	3878.0
92	401408.0	4246.0
93	200704.0	700.0
94	200704.0	723.0
95	200704.0	3210.0
96	200704.0	765.0
97	200704.0	747.0
98	200704.0	3205.0
99	100352.0	373.0
100	100352.0	355.0
101	100352.0	372.0
102	200704.0	3449.0
103	802816.0	8284.0
104	802816.0	5573.0
105	802816.0	5348.0
106	401408.0	1497.0
107	100352.0	383.0
108	401408.0	4120.0
109	401408.0	4151.0
110	401408.0	4304.0
111	200704.0	702.0
112	200704.0	765.0
113	200704.0	3192.0
