	relu_coeff	time_cost
0	2880.0	18.0
1	320.0	3.0
2	1024.0	21.0
3	2880.0	16.0
4	320.0	3.0
5	1024.0	30.0
6	2880.0	17.0
7	320.0	4.0
8	1024.0	21.0
9	2880.0	16.0
10	320.0	3.0
11	1024.0	22.0
12	2880.0	16.0
13	320.0	4.0
14	1024.0	21.0
15	2880.0	14.0
16	320.0	3.0
17	1024.0	20.0
18	2880.0	15.0
19	320.0	4.0
20	1024.0	20.0
21	2880.0	15.0
22	320.0	3.0
23	1024.0	19.0
24	2880.0	15.0
25	320.0	4.0
26	1024.0	18.0
27	2880.0	16.0
28	320.0	3.0
29	1024.0	19.0
30	2880.0	11.0
31	320.0	2.0
32	1024.0	20.0
33	2880.0	11.0
34	320.0	3.0
35	1024.0	24.0
36	2880.0	15.0
37	320.0	6.0
38	1024.0	33.0
39	2880.0	15.0
40	320.0	4.0
41	1024.0	18.0
42	2880.0	17.0
43	320.0	4.0
44	1024.0	20.0
45	3600.0	20.0
46	400.0	4.0
47	50.0	2.0
48	1338.0	14.0
49	3600.0	22.0
50	400.0	4.0
51	50.0	1.0
52	1338.0	19.0
53	3600.0	15.0
54	400.0	2.0
55	50.0	1.0
56	1338.0	13.0
57	3600.0	22.0
58	400.0	6.0
59	50.0	2.0
60	1338.0	12.0
61	3600.0	19.0
62	400.0	4.0
63	50.0	3.0
64	1338.0	20.0
65	3600.0	17.0
66	400.0	4.0
67	50.0	1.0
68	1338.0	14.0
69	3600.0	25.0
70	400.0	3.0
71	50.0	2.0
72	1338.0	11.0
73	3600.0	20.0
74	400.0	5.0
75	50.0	1.0
76	1338.0	15.0
77	3600.0	18.0
78	400.0	6.0
79	50.0	2.0
80	1338.0	12.0
81	3600.0	28.0
82	400.0	5.0
83	50.0	2.0
84	1338.0	12.0
85	3600.0	22.0
86	400.0	5.0
87	50.0	2.0
88	1338.0	14.0
89	3600.0	18.0
90	400.0	5.0
91	50.0	2.0
92	1338.0	15.0
93	3600.0	18.0
94	400.0	4.0
95	50.0	2.0
96	1338.0	10.0
97	3600.0	22.0
98	400.0	4.0
99	50.0	2.0
100	1338.0	15.0
101	3600.0	22.0
102	400.0	4.0
103	50.0	1.0
104	1338.0	26.0
105	200704.0	703.0
106	200704.0	1040.0
107	200704.0	3411.0
108	802816.0	5653.0
109	200704.0	939.0
110	200704.0	830.0
111	802816.0	7868.0
112	200704.0	3318.0
113	200704.0	857.0
114	802816.0	5534.0
115	401408.0	1844.0
116	100352.0	2988.0
117	401408.0	6308.0
118	100352.0	534.0
119	100352.0	395.0
120	401408.0	1638.0
121	100352.0	483.0
122	100352.0	705.0
123	401408.0	1605.0
124	100352.0	2857.0
125	100352.0	509.0
126	401408.0	4150.0
127	200704.0	868.0
128	50176.0	438.0
129	200704.0	3239.0
130	50176.0	315.0
131	50176.0	394.0
132	200704.0	731.0
133	50176.0	337.0
134	50176.0	334.0
135	200704.0	738.0
136	50176.0	334.0
137	50176.0	295.0
138	200704.0	2969.0
139	50176.0	318.0
140	50176.0	434.0
141	200704.0	3334.0
142	50176.0	291.0
143	50176.0	356.0
144	200704.0	867.0
145	100352.0	499.0
146	25088.0	543.0
147	100352.0	424.0
148	25088.0	250.0
149	25088.0	541.0
150	100352.0	2960.0
151	25088.0	265.0
152	25088.0	519.0
153	100352.0	393.0
154	200704.0	735.0
