avgpool_N,avgpool_H,avgpool_W,avgpool_C,avgpool_ksizeH,avgpool_ksizeW,avgpool_zPadHLeft,avgpool_zPadHRight,avgpool_zPadWLeft,avgpool_zPadWRight,avgpool_strideH,avgpool_strideW,avgpool_N1,avgpool_imgH,avgpool_imgW,avgpool_C1,count
1.0,1.0,1.0,512.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,512.0,15
1.0,1.0,1.0,1000.0,13.0,13.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,13.0,13.0,1000.0,15
1.0,1.0,1.0,1024.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,1024.0,15
1.0,1.0,1.0,2048.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,2048.0,15
1.0,2.0,2.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,16.0,15
1.0,2.0,2.0,32.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,32.0,15
1.0,2.0,2.0,32.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,32.0,15
1.0,3.0,3.0,32.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,5.0,5.0,32.0,15
1.0,3.0,3.0,128.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,128.0,15
1.0,4.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,15
1.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,3.0,15
1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,7.0,3.0,15
1.0,4.0,4.0,16.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,16.0,15
1.0,4.0,4.0,1024.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,1024.0,15
1.0,5.0,5.0,32.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,32.0,15
1.0,5.0,5.0,64.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,10.0,10.0,64.0,15
1.0,6.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,13.0,13.0,3.0,15
1.0,6.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,14.0,14.0,3.0,15
1.0,6.0,6.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,16.0,15
1.0,6.0,6.0,64.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,13.0,13.0,64.0,15
1.0,6.0,6.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,13.0,13.0,128.0,15
