conv_N,conv_H,conv_W,conv_CI,conv_FH,conv_FW,conv_CO,conv_zPadHLeft,conv_zPadHRight,conv_zPadWLeft,conv_zPadWRight,conv_strideH,conv_strideW,count
1.0,1.0,1.0,1024.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,2.0,2.0,16.0,1.0,1.0,32.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,2.0,2.0,32.0,3.0,3.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,15
1.0,2.0,2.0,1024.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,3.0,3.0,256.0,3.0,3.0,32.0,1.0,1.0,1.0,1.0,2.0,2.0,15
1.0,3.0,3.0,512.0,1.0,1.0,64.0,0.0,0.0,0.0,0.0,2.0,2.0,15
1.0,4.0,4.0,16.0,7.0,7.0,32.0,3.0,3.0,3.0,3.0,1.0,1.0,15
1.0,4.0,4.0,25.0,2.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,5.0,5.0,32.0,5.0,5.0,512.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,5.0,5.0,128.0,7.0,7.0,1024.0,3.0,3.0,3.0,3.0,1.0,1.0,15
1.0,6.0,6.0,16.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,2.0,2.0,15
1.0,6.0,6.0,64.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,2.0,2.0,15
1.0,6.0,6.0,128.0,5.0,5.0,128.0,2.0,2.0,2.0,2.0,1.0,1.0,15
1.0,6.0,6.0,512.0,1.0,1.0,1024.0,0.0,0.0,0.0,0.0,2.0,2.0,15
1.0,7.0,7.0,16.0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,128.0,3.0,3.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,240
1.0,7.0,7.0,512.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,512.0,1.0,1.0,2048.0,0.0,0.0,0.0,0.0,1.0,1.0,45
1.0,7.0,7.0,512.0,3.0,3.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,30
1.0,7.0,7.0,544.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,576.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,608.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,640.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,672.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,704.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,736.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,768.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,800.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,832.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,864.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,896.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,928.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,960.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,992.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,7.0,7.0,2048.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,1.0,1.0,30
1.0,9.0,9.0,16.0,5.0,5.0,512.0,0.0,0.0,0.0,0.0,2.0,2.0,15
1.0,9.0,9.0,16.0,7.0,7.0,512.0,0.0,0.0,0.0,0.0,2.0,2.0,15
1.0,9.0,9.0,16.0,7.0,7.0,1024.0,3.0,3.0,3.0,3.0,2.0,2.0,15
1.0,9.0,9.0,512.0,5.0,5.0,128.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,10.0,10.0,128.0,1.0,1.0,128.0,0.0,0.0,0.0,0.0,2.0,2.0,15
1.0,10.0,10.0,256.0,3.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,15
1.0,11.0,11.0,16.0,1.0,1.0,512.0,0.0,0.0,0.0,0.0,1.0,1.0,15
1.0,11.0,11.0,32.0,1.0,1.0,64.0,0.0,0.0,0.0,0.0,1.0,1.0,15
