	relu_coeff	time_cost
0	2880.0	18.0
1	320.0	3.0
2	1024.0	9.0
3	2880.0	16.0
4	320.0	3.0
5	1024.0	11.0
6	2880.0	17.0
7	320.0	3.0
8	1024.0	10.0
9	2880.0	16.0
10	320.0	3.0
11	1024.0	7.0
12	2880.0	16.0
13	320.0	4.0
14	1024.0	8.0
15	2880.0	14.0
16	320.0	3.0
17	1024.0	8.0
18	2880.0	15.0
19	320.0	4.0
20	1024.0	10.0
21	2880.0	15.0
22	320.0	6.0
23	1024.0	10.0
24	2880.0	14.0
25	320.0	4.0
26	1024.0	8.0
27	2880.0	16.0
28	320.0	3.0
29	1024.0	10.0
30	2880.0	11.0
31	320.0	2.0
32	1024.0	7.0
33	2880.0	11.0
34	320.0	3.0
35	1024.0	7.0
36	2880.0	15.0
37	320.0	6.0
38	1024.0	9.0
39	2880.0	15.0
40	320.0	4.0
41	1024.0	7.0
42	2880.0	17.0
43	320.0	3.0
44	1024.0	6.0
45	3600.0	20.0
46	400.0	4.0
47	50.0	2.0
48	1338.0	9.0
49	3600.0	22.0
50	400.0	4.0
51	50.0	1.0
52	1338.0	13.0
53	3600.0	14.0
54	400.0	2.0
55	50.0	1.0
56	1338.0	8.0
57	3600.0	22.0
58	400.0	6.0
59	50.0	2.0
60	1338.0	9.0
61	3600.0	19.0
62	400.0	4.0
63	50.0	3.0
64	1338.0	13.0
65	3600.0	17.0
66	400.0	4.0
67	50.0	1.0
68	1338.0	10.0
69	3600.0	25.0
70	400.0	3.0
71	50.0	1.0
72	1338.0	7.0
73	3600.0	20.0
74	400.0	5.0
75	50.0	2.0
76	1338.0	9.0
77	3600.0	19.0
78	400.0	6.0
79	50.0	2.0
80	1338.0	8.0
81	3600.0	29.0
82	400.0	5.0
83	50.0	2.0
84	1338.0	7.0
85	3600.0	22.0
86	400.0	5.0
87	50.0	2.0
88	1338.0	9.0
89	3600.0	18.0
90	400.0	5.0
91	50.0	2.0
92	1338.0	10.0
93	3600.0	18.0
94	400.0	4.0
95	50.0	3.0
96	1338.0	6.0
97	3600.0	22.0
98	400.0	4.0
99	50.0	1.0
100	1338.0	10.0
101	3600.0	21.0
102	400.0	4.0
103	50.0	1.0
104	1338.0	11.0
105	200704.0	646.0
106	200704.0	761.0
107	200704.0	3174.0
108	802816.0	5268.0
109	200704.0	748.0
110	200704.0	644.0
111	802816.0	7546.0
112	200704.0	3168.0
113	200704.0	676.0
114	802816.0	5187.0
115	401408.0	1433.0
116	100352.0	2759.0
117	401408.0	6131.0
118	100352.0	382.0
119	100352.0	359.0
120	401408.0	1435.0
121	100352.0	352.0
122	100352.0	477.0
123	401408.0	1415.0
124	100352.0	2744.0
125	100352.0	330.0
126	401408.0	3936.0
127	200704.0	677.0
128	50176.0	201.0
129	200704.0	3165.0
130	50176.0	197.0
131	50176.0	189.0
132	200704.0	635.0
133	50176.0	223.0
134	50176.0	184.0
135	200704.0	685.0
136	50176.0	204.0
137	50176.0	183.0
138	200704.0	2888.0
139	50176.0	191.0
140	50176.0	193.0
141	200704.0	3251.0
142	50176.0	181.0
143	50176.0	179.0
144	200704.0	778.0
145	100352.0	342.0
146	25088.0	106.0
147	100352.0	367.0
148	25088.0	104.0
149	25088.0	102.0
150	100352.0	2901.0
151	25088.0	114.0
152	25088.0	98.0
153	100352.0	340.0
154	200704.0	680.0
