maxpool_N,maxpool_H,maxpool_W,maxpool_C,maxpool_ksizeH,maxpool_ksizeW,maxpool_zPadHLeft,maxpool_zPadHRight,maxpool_zPadWLeft,maxpool_zPadWRight,maxpool_strideH,maxpool_strideW,maxpool_N1,maxpool_imgH,maxpool_imgW,maxpool_C1,time_cost_list,max_time_cost_difference
1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,"[2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]",1.0
1.0,1.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,50.0,"[10.0, 16.0, 13.0, 11.0, 15.0, 10.0, 10.0, 10.0, 11.0, 13.0, 12.0, 12.0, 9.0, 10.0, 12.0]",7.0
1.0,1.0,1.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,128.0,"[29.0, 30.0, 24.0, 28.0, 22.0, 27.0, 29.0, 30.0, 28.0, 28.0, 21.0, 28.0, 29.0, 20.0, 30.0]",10.0
1.0,1.0,1.0,1024.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1024.0,"[173.0, 165.0, 184.0, 168.0, 157.0, 163.0, 196.0, 174.0, 171.0, 123.0, 160.0, 157.0, 142.0, 179.0, 175.0]",73.0
1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,7.0,6.0,1.0,"[2.0, 2.0, 1.0, 1.0, 4.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0]",3.0
1.0,2.0,2.0,32.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,32.0,"[13.0, 13.0, 9.0, 10.0, 14.0, 16.0, 12.0, 13.0, 13.0, 11.0, 13.0, 10.0, 12.0, 12.0, 14.0]",7.0
1.0,2.0,2.0,1024.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,1024.0,"[747.0, 818.0, 727.0, 792.0, 759.0, 737.0, 726.0, 688.0, 686.0, 768.0, 719.0, 749.0, 752.0, 794.0, 829.0]",143.0
1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,3.0,"[6.0, 4.0, 3.0, 3.0, 5.0, 4.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 8.0, 3.0, 4.0]",5.0
1.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,6.0,6.0,3.0,"[5.0, 4.0, 4.0, 3.0, 5.0, 6.0, 4.0, 4.0, 5.0, 4.0, 6.0, 6.0, 4.0, 4.0, 8.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 3.0, 5.0, 6.0, 8.0, 5.0, 4.0, 4.0, 4.0]",5.0
1.0,3.0,3.0,128.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,5.0,5.0,128.0,"[213.0, 315.0, 166.0, 199.0, 210.0, 158.0, 189.0, 204.0, 213.0, 215.0, 211.0, 196.0, 195.0, 166.0, 209.0]",157.0
1.0,3.0,3.0,128.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,128.0,"[62.0, 82.0, 92.0, 70.0, 83.0, 69.0, 106.0, 91.0, 67.0, 77.0, 88.0, 69.0, 75.0, 60.0, 69.0]",46.0
